,a,all,an,and,as,at,be,but,by,for,from,had,i,if,in,into,is,it,its,not,now,of,one,over,so,some,still,such,than,that,the,then,there,to,upon,was,when,with
Poe_Assignation_1834,0.023156475,0.005170863,0.003372302,0.027652878,0.007868705,0.007194245,0.004496403,0.005620504,0.002473022,0.005620504,0.007643885,0.005845324,0.014838129,0.00067446,0.021807554,0.002473022,0.007194245,0.008093525,0.002697842,0.004946043,0.002248201,0.049460432,0.002922662,0.001798561,0.002922662,0.001798561,0.002023381,0.001124101,0.002697842,0.012140288,0.077113309,0.001124101,0.003597122,0.019784173,0.008767986,0.006294964,0.001348921,0.008767986
Poe_Berenice_1835,0.023676012,0.002492212,0.003426791,0.045482866,0.009968847,0.005919003,0.003115265,0.007476636,0.004672897,0.004672897,0.004984424,0.00623053,0.023364486,0.000934579,0.030218069,0.001246106,0.005607477,0.012149533,0.003426791,0.011214953,0.002492212,0.053271028,0.001557632,0.001557632,0.002803738,0.002803738,0.002180685,0.001557632,0.001246106,0.012772586,0.074143302,0.002492212,0.003115265,0.015576324,0.006853583,0.008099688,0.000623053,0.008722741
Poe_CaskOfAmontillado_1846,0.027765912,0.001281504,0.002990175,0.02605724,0.00598035,0.006407518,0.005553182,0.007689022,0.002990175,0.006407518,0.007689022,0.008970525,0.047415634,0.000427168,0.014523708,0.002135839,0.008543358,0.015378044,0.003417343,0.008970525,0.001708672,0.032037591,0.003417343,0.001281504,0.001281504,0.000854336,0.001708672,0.000427168,0.000427168,0.007261854,0.071337035,0.001708672,0.002990175,0.021358394,0.00598035,0.011533533,0.002135839,0.00811619
Poe_FactsOfTheCaseOfMValdemar_1845,0.018596788,0.003099465,0.004226543,0.0231051,0.01155255,0.009016624,0.006480699,0.004508312,0.005071851,0.008453085,0.00563539,0.010989011,0.02874049,0.000845309,0.018596788,0.001408848,0.004226543,0.012679628,0.001972387,0.004226543,0.005353621,0.035221189,0.000845309,0.00028177,0.004226543,0.002535926,0.002254156,0.000845309,0.001127078,0.012397859,0.065088757,0.001972387,0.003099465,0.033530572,0.001408848,0.018596788,0.003099465,0.006480699
Poe_FallOfHouseUsher_1839,0.022246941,0.003893215,0.006256952,0.034065628,0.008342603,0.005561735,0.002919911,0.005283648,0.004171301,0.007369299,0.005283648,0.01070634,0.023776418,0.001807564,0.02016129,0.002085651,0.001112347,0.007925473,0.004588432,0.006535039,0.002919911,0.057703003,0.002085651,0.002085651,0.003754171,0.002224694,0.00125139,0.00083426,0.001529477,0.011401557,0.077864294,0.000556174,0.004032258,0.016824249,0.008064516,0.011401557,0.00125139,0.008342603
Poe_HopFrog_1849,0.025395958,0.003823048,0.001365374,0.029765156,0.013653741,0.012561442,0.005188422,0.005188422,0.008738394,0.008465319,0.006280721,0.007099945,0.007099945,0.001911524,0.017749863,0.002184599,0.003549973,0.012288367,0.001638449,0.004642272,0.001638449,0.036045877,0.001638449,0.000819224,0.002457673,0.002457673,0.001092299,0.001092299,0.002457673,0.007099945,0.082468596,0.001365374,0.001911524,0.029492081,0.002184599,0.015565265,0.001638449,0.007099945
Poe_KingPest_1835,0.025667999,0.003155902,0.003576688,0.039133179,0.006522197,0.009467705,0.005470229,0.003787082,0.00736377,0.005470229,0.003997475,0.003576688,0.003787082,0.000210393,0.022722491,0.003155902,0.002103934,0.005049442,0.001472754,0.003997475,0.00063118,0.050704818,0.003155902,0.002103934,0.002735115,0.001262361,0.001262361,0.001683147,0.002103934,0.00610141,0.079739112,0.001051967,0.001262361,0.023564065,0.007153377,0.010309278,0.001051967,0.010098885
Poe_Ligeia_1838,0.022932817,0.004037468,0.003068475,0.031815245,0.005813953,0.004037468,0.003875969,0.006782946,0.005652455,0.004037468,0.005329457,0.007267442,0.026970284,0.00129199,0.021156331,0.001937984,0.002583979,0.008882429,0.002260982,0.006782946,0.002745478,0.058301034,0.001937984,0.001453488,0.003068475,0.001776486,0.000484496,0.001776486,0.00371447,0.011789406,0.08494832,0.002583979,0.004037468,0.017118863,0.006782946,0.010658915,0.00129199,0.011627907
Poe_MaskOfTheRedDeath_1842,0.019333608,0.004524887,0.002879473,0.051419169,0.006581654,0.008227067,0.003290827,0.007815714,0.002056767,0.002056767,0.00740436,0.00863842,0.000822707,0.002056767,0.020156314,0.001645413,0.001645413,0.006993007,0.003290827,0.001645413,0.002879473,0.050185109,0.00246812,0.00123406,0.00493624,0.000411353,0.000411353,0.002056767,0.00123406,0.011929247,0.107774578,0.003290827,0.014808721,0.019744961,0.005347594,0.018922254,0.002056767,0.011106541
Poe_Metzengerstein_1832,0.026830808,0.003156566,0.006628788,0.030934343,0.006313131,0.007260101,0.005366162,0.005681818,0.005366162,0.003156566,0.006944444,0.005366162,0.002840909,0.001578283,0.018939394,0.003156566,0.002840909,0.002840909,0.001262626,0.003156566,0.000631313,0.059343434,0.001578283,0.002209596,0.003156566,0.002209596,0.00094697,0.00094697,0.001262626,0.009785354,0.096275253,0.000631313,0.002525253,0.020833333,0.003472222,0.006628788,0.002525253,0.008838384
Poe_Morella_1835,0.015130024,0.006619385,0.001891253,0.053900709,0.007092199,0.006146572,0.004255319,0.010874704,0.004728132,0.007565012,0.008037825,0.004728132,0.026477541,0.000472813,0.018439716,0.003309693,0.007092199,0.007565012,0.004255319,0.004255319,0.000472813,0.047281324,0.001891253,0.003782506,0.000472813,0.000945626,0.000472813,0.000472813,0.00141844,0.008510638,0.072340426,0.004255319,0.00141844,0.017021277,0.007092199,0.006146572,0.005200946,0.008037825
Poe_Raven_1845,0.013748854,0.003666361,0.001833181,0.034830431,0.004582951,0.007332722,0.003666361,0.006416132,0.006416132,0.003666361,0.007332722,0.00091659,0.029330889,0.003666361,0.006416132,0.005499542,0.012832264,0.004582951,0.002749771,0.002749771,0.001833181,0.020164986,0.003666361,0.00091659,0.004582951,0.004582951,0.006416132,0.00091659,0.001833181,0.015582035,0.051329056,0.007332722,0.006416132,0.005499542,0.004582951,0.005499542,0.00091659,0.007332722
Poe_ShadowAParable_1835,0.014042126,0.004012036,0.001003009,0.06218656,0.003009027,0.006018054,0.004012036,0.012036108,0.003009027,0.005015045,0.008024072,0.004012036,0.008024072,0.002006018,0.022066199,0.003009027,0.003009027,0.007021063,0.002006018,0.008024072,0.001003009,0.067201605,0.001003009,0.003009027,0.002006018,0.004012036,0.002006018,0.002006018,0.001003009,0.006018054,0.098294885,0.001003009,0.009027081,0.011033099,0.012036108,0.011033099,0.004012036,0.004012036
