,Source,Target,Weight,Type
1,Bird_Calavar,BrownCharlesBrockden_Wieland,2,undirected
2,Bird_Calavar,Cooper_LastMohicans_1,7,undirected
3,Bird_Calavar,Poe_HopFrog_1849,1,undirected
4,Bird_Calavar,Scott_ChroniclesOftheCanongate1,21,undirected
5,Bird_Calavar,Scott_TheAbbot1,33,undirected
6,Bird_Calavar,Scott_Woodstock1,36,undirected
7,Bird_SheppardLee1,BrownCharlesBrockden_Wieland,1,undirected
8,Bird_SheppardLee1,Doyle_AdventureOfTheCardboardBox,10,undirected
9,Bird_SheppardLee1,Doyle_SherlockHolmes_1,4,undirected
10,Bird_SheppardLee1,Doyle_SignOfTheFour,12,undirected
11,Bird_SheppardLee1,Edgeworth_Helen,8,undirected
12,Bird_SheppardLee1,HenryWP_ThePirate,2,undirected
13,Bird_SheppardLee1,Irving_BracebridgeHall1,16,undirected
14,Bird_SheppardLee1,Melville_MobyDick_1,30,undirected
15,Bird_SheppardLee1,Poe_FactsOfTheCaseOfMValdemar_1845,1,undirected
16,Bird_SheppardLee1,Scott_ChroniclesOftheCanongate1,2,undirected
17,Bird_SheppardLee1,Scott_Woodstock1,2,undirected
18,BrownCharlesBrockden_EdgarHuntley,BrownCharlesBrockden_Wieland,60,undirected
19,BrownCharlesBrockden_EdgarHuntley,Cooper_LastMohicans_1,2,undirected
20,BrownCharlesBrockden_EdgarHuntley,HenryWP_AFragment,1,undirected
21,BrownCharlesBrockden_EdgarHuntley,HenryWP_MonteVideo,1,undirected
22,BrownCharlesBrockden_EdgarHuntley,HenryWP_ThePirate,29,undirected
23,BrownCharlesBrockden_EdgarHuntley,Irving_BracebridgeHall1,4,undirected
24,BrownCharlesBrockden_EdgarHuntley,Poe_CaskOfAmontillado,5,undirected
25,BrownCharlesBrockden_EdgarHuntley,Poe_FactsOfTheCaseOfMValdemar_1845,25,undirected
26,BrownCharlesBrockden_EdgarHuntley,Poe_FallOfHouseUsher,4,undirected
27,BrownCharlesBrockden_EdgarHuntley,Poe_HopFrog_1849,2,undirected
28,BrownCharlesBrockden_EdgarHuntley,Poe_KingPest_1835,1,undirected
29,BrownCharlesBrockden_EdgarHuntley,Poe_TheSphinx_1846,12,undirected
30,BrownCharlesBrockden_EdgarHuntley,Quincey_Klosterheim_1,16,undirected
31,BrownCharlesBrockden_EdgarHuntley,Quincey_Klosterheim_2,30,undirected
32,BrownCharlesBrockden_EdgarHuntley,Scott_TheAbbot1,9,undirected
33,BrownCharlesBrockden_Wieland,Bird_Calavar,2,undirected
34,BrownCharlesBrockden_Wieland,Bird_SheppardLee1,1,undirected
