"ADream_1831" "ArthurMervyn_1793" "Assignation_1834" "BlithedaleRomance" "ChroniclesOftheCanongate2" "Destiny2" "HarryandLucy1" "HistOfNY" "Klosterheim_2" "LastDayOfPompeii3" "LastMohicans_4" "MinorMorals1" "PericlesAndAspesia2" "PiazzaTales" "QuakerCity" "RealLifeInLondon_1" "RecollectionsofSouthernMatron_2" "Rookwood1" "SheppardLee2" "Spaewife3" "StLeon_1" "TheDoctor2"
"the" 10.7883817427386 4.73062730627306 7.74266365688488 4.99613160413853 6.7807304938721 3.56426075968186 5.00692577201988 7.4955231517012 7.88362806617228 0 8.97146432360382 6.13682092555332 5.77183905158989 6.68299114710868 7.4462757063714 6.98931886999634 7.12154205984354 6.65573322399891 5.60365666066013 8.00152825914909 6.19305461550476 5.61636419273592
"and" 2.15767634854772 3.60348876216035 2.7765237020316 3.03701858141334 3.14767625288193 3.19073812532521 3.30807463537847 3.63812447465556 2.86366229321164 4.2429077130179 3.18000054405484 3.93791319344639 4.2623197870096 2.49387831983424 2.84783060955595 3.58699630652514 4.12936527139285 3.006696733634 3.69182085878785 4.02259640313293 3.63279012859895 3.42254548878375
"to" 1.57676348547718 3.69272056356927 1.98645598194131 2.45610354187702 2.89042591918456 3.15171337248197 2.70512507129471 2.59657201330264 2.73816314888762 2.44303734357082 2.41832376703572 3.29405001437195 2.69252021901844 2.4361147736548 1.5337139687016 2.90237247529365 2.94378578917655 2.41219078857455 2.85823114900599 3.25300876019977 3.43234237517572 2.64341030529859
"of" 5.06224066390041 3.16940623951694 4.96613995485327 3.66514116366593 0 0 0 5.01407009465336 0 0 4.53469709746742 0 0 3.11923149368996 3.43072667452594 0 0 0 3.38416912055553 0 0 0
"a" 2.32365145228216 1.65112378396511 2.32505643340858 2.73803747754363 1.86870525421672 1.88991303055081 1.50126293489774 2.39282973358184 2.156303479749 1.87465722690333 2.33671554092653 2.06668582926128 1.43165720600794 2.19124756702455 2.8709461177504 2.8948857019266 0 2.2686893535602 2.62236481636121 1.72474961111263 1.7858072577706 2.05964738836711
"in" 2.15767634854772 1.53371351895337 2.18961625282167 1.69553757589268 1.56049023176799 1.37144131420501 1.46867106656889 1.98260424661039 1.93953223046207 1.58298848282395 1.97763934604608 1.52055188272492 1.94152810569147 1.76806680479689 1.84423229544702 2.07050876784348 1.82272763932575 1.60926609266093 1.61883414641293 1.58556886717791 1.893840787213 2.24325024127298
"i" 3.81742738589212 2.95672593089567 1.48984198645598 1.79913190574227 1.47797597378959 2.16494462201739 2.29365273364296 0.478748675218361 0.65031374786081 1.20656130029416 0.39988030793504 1.25035929864904 1.52961269905059 1.12764487976392 1.0583050168358 0.687119422353841 1.80659730623437 1.37351373513735 3.02817210917242 1.07523947275059 3.28916540844484 0.774427418026034
"that" 0.912863070539419 1.18550821871855 1.21896162528217 1.19592441547883 1.19645674068681 1.10570133055824 1.63570439175426 1.13474399736871 1.14090131203651 1.31874158647854 1.14251516552869 1.30784708249497 1.14783744411514 1.21177874050355 0.870684141990862 0.82354507037567 0.9678199854827 1.25392920595873 1.4488931862465 1.51188494391835 1.55151767584735 1.4217451686557
"his" 0.663900414937759 1.08621268030862 0.767494356659142 0.670084842444826 1.2668365489625 0.841819668475433 0.757760938645808 1.40975039286628 0.855675984027382 1.47080819663958 2.16261799189358 1.16412762288014 0.650524940975536 1.31851572800904 1.719408551197 1.29687551991482 1.12912331639648 1.85185185185185 0.899515082260215 1.27172993477608 0.783568490654449 1.26403502577502
"was" 1.6597510373444 2.01207648440121 0.632054176072235 1.09757536815327 0.723213202281277 1.08897643648257 1.24052798826693 1.01140225852428 1.10667427267541 1.0470160043875 1.08538940725225 1.63265306122449 0.585221278947104 1.07615997990833 0.847568633796414 0.993245266695505 1.23397048149044 1.4623479568129 1.73163978376478 1.18440084054253 1.64132868225126 1.23814231574983
