ADream_1831 	-->	 Poe
ArthurMervyn_1793 	-->	 BrownCharlesBrockden
Calavar 	-->	 Bird
Destiny3 	-->	 Ferrier
HarryandLucy1 	-->	 Edgeworth
LastDayOfPompeii3 	-->	 Lytton
MinorMorals2 	-->	 Bowring
MobyDick 	-->	 Melville
PericlesAndAspesia1 	-->	 Landor
QuakerCity 	-->	 Irving
RealLifeInLondon_2 	-->	 Badcock
RecollectionsofSouthernMatron_1 	-->	 Gilman
RipVanWInkle 	-->	 Irving
Rookwood1 	-->	 Ainsworth
Spaewife2 	-->	 Galt
StLeon_1 	-->	 Godwin
TheBravo1 	-->	 Cooper
TheCaesars_1851 	-->	 Quincey
TheDoctor1 	-->	 Scott
TheSphinx_1846 	-->	 Poe
TwiceToldTales 	-->	 Cooper
Woodstock 	-->	 Scott
ADream_1831 	-->	 Poe
BelOfPrairieEden 	-->	 Irving
Destiny1 	-->	 Ferrier
EnglishMailCoach_1849 	-->	 Quincey
HarryandLucy2 	-->	 Edgeworth
LastDayOfPompeii1 	-->	 Lytton
LastMohicans_1 	-->	 Cooper
MaskOfTheRedDeath_1842 	-->	 Hawthorne
MinorMorals2 	-->	 Bowring
MobyDick 	-->	 Melville
MossesFromAnOldManse 	-->	 Hawthorne
PericlesAndAspesia2 	-->	 Landor
RealLifeInLondon_2 	-->	 Badcock
RecollectionsofSouthernMatron_2 	-->	 Cooper
RipVanWInkle 	-->	 Irving
Rookwood1 	-->	 Hawthorne
SheppardLee2 	-->	 Bird
Spaewife3 	-->	 Galt
StLeon_1 	-->	 Godwin
TheAbbot 	-->	 Scott
TheDoctor1 	-->	 Scott
Wieland 	-->	 BrownCharlesBrockden
ADream_1831 	-->	 Ainsworth
BracebridgeHall 	-->	 Irving
Destiny3 	-->	 Ferrier
EdgarHuntley 	-->	 BrownCharlesBrockden
FallOfHouseUsher_1839 	-->	 Poe
HarryandLucy4 	-->	 Edgeworth
LastDayOfPompeii3 	-->	 Lytton
LastMohicans_1 	-->	 Cooper
MinorMorals1 	-->	 Bowring
MobyDick 	-->	 Melville
NotebookEnglishOpiumEater 	-->	 Quincey
PericlesAndAspesia1 	-->	 Landor
QuakerCity 	-->	 Irving
RealLifeInLondon_2 	-->	 Badcock
RecollectionsofSouthernMatron_1 	-->	 Gilman
Rookwood2 	-->	 Ainsworth
ScarletLetter 	-->	 Hawthorne
SheppardLee1 	-->	 Bird
Spaewife3 	-->	 Galt
StLeon_1 	-->	 Godwin
TheDoctor1 	-->	 Scott
Woodstock 	-->	 Scott
ADream_1831 	-->	 Poe
Assignation_1834 	-->	 Poe
BlithedaleRomance 	-->	 Hawthorne
ChroniclesOftheCanongate 	-->	 Scott
ConfidenceMan 	-->	 Melville
Destiny2 	-->	 Ferrier
HarryandLucy1 	-->	 Edgeworth
LastDayOfPompeii1 	-->	 Lytton
LastMohicans_4 	-->	 Cooper
MinorMorals3 	-->	 Cooper
NotebookEnglishOpiumEater 	-->	 Quincey
Ormond_1799 	-->	 BrownCharlesBrockden
PericlesAndAspesia2 	-->	 Landor
QuakerCity 	-->	 Irving
RealLifeInLondon_2 	-->	 Badcock
RecollectionsofSouthernMatron_1 	-->	 Gilman
Rookwood3 	-->	 Ainsworth
