Text, PREDICTED author , WRITTEN by 
ADream_1831,Ainsworth,Poe
BelOfPrairieEden,Lippard,Lippard
ChroniclesOftheCanongate,Scott,Scott
Destiny1,Ferrier,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
EnglishMailCoach_1849,Quincey,Quincey
HarryandLucy2,Edgeworth,Edgeworth
HistOfNY,Cooper,Irving
HopFrog_1849,Bird,Poe
LastDayOfPompeii1,Lytton,Lytton
LastMohicans_3,Cooper,Cooper
MinorMorals1,Bowring,Bowring
MossesFromAnOldManse,Hawthorne,Hawthorne
Omoo_1847,Irving,Melville
PericlesAndAspesia1,Landor,Landor
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Cooper,Gilman
Rookwood2,Ainsworth,Ainsworth
Spaewife2,Galt,Galt
StLeon_2,Godwin,Godwin
TheDoctor2,Southey,Southey
TheInfidel_v1_1835,Scott,Bird
ADream_1831,Ainsworth,Poe
Destiny2,Ferrier,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
HarryandLucy1,Edgeworth,Edgeworth
LastDayOfPompeii1,Lytton,Lytton
MinorMorals1,Bowring,Bowring
Monikins,Cooper,Cooper
NotebookEnglishOpiumEater,Quincey,Quincey
PericlesAndAspesia1,Landor,Landor
PiazzaTales,Melville,Melville
QuakerCity,Irving,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Cooper,Gilman
RipVanWInkle,Irving,Irving
Rookwood2,Ainsworth,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
Spaewife2,Galt,Galt
StLeon_2,Godwin,Godwin
TheDoctor1,Southey,Southey
TheInfidel_v1_1835,Bird,Bird
TheOvalPortrait_1842,Poe,Poe
ThePirate_1822,Scott,Scott
ADream_1831,Ainsworth,Poe
BelOfPrairieEden,Lippard,Lippard
ConfidenceMan,Melville,Melville
Destiny1,Ainsworth,Ferrier
HarryandLucy3,Edgeworth,Edgeworth
HistOfNY,Cooper,Irving
Klosterheim,Cooper,Quincey
LastDayOfPompeii3,Lytton,Lytton
Metzengerstein_1832,Hawthorne,Poe
MinorMorals3,Cooper,Bowring
PericlesAndAspesia1,Landor,Landor
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
SheppardLee2,Bird,Bird
Spaewife1,Galt,Galt
StLeon_1,Godwin,Godwin
TheBravo2,Cooper,Cooper
TheDoctor1,Scott,Southey
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
Woodstock,Scott,Scott

Author,TruePOS,TrueNEG,FalsePOS,FalseNEG
Galt,3,63,0,0
Lytton,3,63,0,0
Gilman,1,63,0,2
Poe,1,60,0,5
Cooper,3,57,6,0
Ferrier,2,63,0,1
Bowring,2,63,0,1
BrownCharlesBrockden,3,63,0,0
Hawthorne,3,62,1,0
Southey,2,63,0,1
Quincey,2,63,0,1
Scott,3,61,2,0
Melville,2,63,0,1
Badcock,3,63,0,0
Ainsworth,3,59,4,0
Irving,1,61,2,2
Landor,3,63,0,0
Lippard,2,63,0,1
Edgeworth,3,63,0,0
Bird,2,62,1,1
Godwin,3,63,0,0

Author:,Times predicted to write [A Dream]
Galt,0
Lytton,0
Gilman,0
Poe,0
Cooper,0
Ferrier,0
Bowring,0
BrownCharlesBrockden,0
Hawthorne,0
Southey,0
Quincey,0
Scott,0
Melville,0
Badcock,0
Ainsworth,3
Irving,0
Landor,0
Lippard,0
Edgeworth,0
Bird,0
Godwin,0
