Text, PREDICTED author , WRITTEN by 
ADream_1831,Poe,Poe
BelOfPrairieEden,Lippard,Lippard
BracebridgeHall,Irving,Irving
Destiny2,Ferrier,Ferrier
HarryandLucy3,Edgeworth,Edgeworth
LastDayOfPompeii1,Lytton,Lytton
MinorMorals3,Bowring,Bowring
MossesFromAnOldManse,Hawthorne,Hawthorne
NotebookEnglishOpiumEater,Quincey,Quincey
Omoo_1847,Melville,Melville
PericlesAndAspesia1,Landor,Landor
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
ShadowAParable_1835,Poe,Poe
SheppardLee1,Bird,Bird
Spaewife2,Galt,Galt
StLeon_2,Godwin,Godwin
TheAbbot,Scott,Scott
TheBravo2,Cooper,Cooper
TheDoctor1,Southey,Southey
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Poe,Poe
BlithedaleRomance,Hawthorne,Hawthorne
Destiny2,Ferrier,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
LastDayOfPompeii1,Lytton,Lytton
MaskOfTheRedDeath_1842,Poe,Poe
MinorMorals3,Bowring,Bowring
NickOfTheWoods_1837,Scott,Bird
Omoo_1847,Irving,Melville
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
RipVanWInkle,Irving,Irving
Rookwood1,Hawthorne,Ainsworth
Spaewife1,Galt,Galt
StLeon_1,Godwin,Godwin
TheAbbot,Scott,Scott
TheBravo2,Cooper,Cooper
TheCaesars_1851,Quincey,Quincey
TheDoctor1,Southey,Southey
ADream_1831,Poe,Poe
BelOfPrairieEden,Lippard,Lippard
Calavar,Bird,Bird
Destiny3,Ferrier,Ferrier
HarryandLucy2,Edgeworth,Edgeworth
HistOfNY,Irving,Irving
LastDayOfPompeii2,Lytton,Lytton
MinorMorals1,Bowring,Bowring
NotebookEnglishOpiumEater,Quincey,Quincey
Omoo_1847,Irving,Melville
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
PocketHandkerchief,Cooper,Cooper
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
Rookwood3,Ainsworth,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
Spaewife1,Galt,Galt
StLeon_2,Godwin,Godwin
TheDoctor2,Southey,Southey
TheManOfTheCrowd_1840,Quincey,Poe
ThePirate_1822,Scott,Scott
ADream_1831,Poe,Poe
Berenice_1835,Poe,Poe
ChroniclesOftheCanongate,Scott,Scott
Destiny2,Ferrier,Ferrier
HarryandLucy3,Edgeworth,Edgeworth
HistOfNY,Badcock,Irving
Klosterheim,Melville,Quincey
LastDayOfPompeii1,Lytton,Lytton
MinorMorals1,Bowring,Bowring
NickOfTheWoods_1837,Hawthorne,Bird
Omoo_1847,Irving,Melville
PericlesAndAspesia1,Landor,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
Spaewife2,Galt,Galt
StLeon_2,Godwin,Godwin
TheBravo2,Cooper,Cooper
TheDoctor2,Southey,Southey
TwiceToldTales,Hawthorne,Hawthorne
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Poe,Poe
Assignation_1834,Hawthorne,Poe
BelOfPrairieEden,Lippard,Lippard
BlithedaleRomance,Hawthorne,Hawthorne
Calavar,Bird,Bird
ConfidenceMan,Melville,Melville
Destiny3,Ferrier,Ferrier
EnglishMailCoach_1849,Quincey,Quincey
HarryandLucy3,Edgeworth,Edgeworth
LastDayOfPompeii3,Lytton,Lytton
MinorMorals1,Bowring,Bowring
Monikins,Cooper,Cooper
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
SketchBookOfGeoffreyCrayon,Irving,Irving
Spaewife2,Galt,Galt
