"Ainsworth_Rookwood2" "Ainsworth_Rookwood3" "Badcock_RealLifeInLondon_2" "Bird_Calavar" "Bird_SheppardLee1" "Bird_SheppardLee2" "Bird_TheInfidel_v1_1835" "Bowring_MinorMorals1" "Bowring_MinorMorals3" "BrownCharlesBrockden_ArthurMervyn_1793" "BrownCharlesBrockden_EdgarHuntley" "BrownCharlesBrockden_Wieland" "Cooper_LastMohicans_1" "Cooper_LastMohicans_3" "Cooper_LastMohicans_4" "Cooper_Monikins" "Cooper_PocketHandkerchief" "Cooper_TheBravo1" "Cooper_TheBravo2" "Edgeworth_HarryandLucy2" "Edgeworth_HarryandLucy3" "Edgeworth_HarryandLucy4" "Edgeworth_Helen" "Ferrier_Destiny1" "Ferrier_Destiny3" "Galt_Spaewife2" "Galt_Spaewife3" "Gilman_RecollectionsofSouthernMatron_1" "Godwin_StLeon_2" "Hawthorne_BlithedaleRomance" "Hawthorne_MossesFromAnOldManse" "Hawthorne_ScarletLetter" "Irving_BracebridgeHall" "Irving_HistOfNY" "Irving_RipVanWInkle" "Landor_PericlesAndAspesia1" "Lippard_QuakerCity" "Lytton_LastDayOfPompeii1" "Lytton_LastDayOfPompeii3" "Melville_MobyDick" "Melville_Omoo_1847" "Melville_PiazzaTales" "Poe_Assignation_1834" "Poe_Berenice_1835" "Poe_CaskOfAmontillado_1846" "Poe_FactsOfTheCaseOfMValdemar_1845" "Poe_FallOfHouseUsher_1839" "Poe_HopFrog_1849" "Poe_Ligeia_1838" "Poe_MaskOfTheRedDeath_1842" "Poe_Metzengerstein_1832" "Poe_Morella_1835" "Poe_ShadowAParable_1835" "Poe_TheManOfTheCrowd_1840" "Poe_TheMesmericRevelation_1844" "Poe_TheOvalPortrait_1842" "Poe_TheSphinx_1846" "Quincey_EnglishMailCoach_1849" "Quincey_Klosterheim" "Quincey_TheCaesars_1851" "Scott_TheAbbot" "Scott_ThePirate_1822" "Scott_Woodstock" "Southey_TheDoctor1" "ADream_1831" "BelOfPrairieEden" "ChroniclesOftheCanongate" "ConfidenceMan" "Destiny2" "HarryandLucy1" "KingPest_1835" "LastDayOfPompeii2" "LastMohicans_2" "MinorMorals2" "NickOfTheWoods_1837" "NotebookEnglishOpiumEater" "Ormond_1799" "PericlesAndAspesia2" "RealLifeInLondon_1" "RecollectionsofSouthernMatron_2" "Rookwood1" "SketchBookOfGeoffreyCrayon" "Spaewife1" "StLeon_1" "TheDoctor2" "TwiceToldTales"
"and" 2.59387887996527 2.44128145243026 3.60635290204557 3.45924411813783 3.84410432517244 3.69182085878785 3.16483760115287 3.93791319344639 3.76749192680301 3.60348876216035 3.52210457142251 3.15440560459441 2.76636835949188 3.19667002203662 3.18000054405484 2.85548152974226 2.82574877419609 3.29186688822024 2.55505554143556 3.24968341448624 3.4289548733434 3.12896994587822 2.98017592227911 3.7360805351914 3.24187267952549 3.61953274232257 4.02259640313293 3.61348604613647 3.54279466888796 3.03701858141334 3.10525094522474 3.28666193130515 4.05469437487308 3.63812447465556 3.57195139803835 4.16656351348006 2.84783060955595 3.76740053312272 4.2429077130179 3.0062974571992 3.18640467339352 2.49387831983424 2.7765237020316 4.56535334584115 2.61241970021413 2.31900452488688 3.41892269048284 2.99417798724702 3.19805194805195 5.17170045510964 3.11407689863362 5.3926206244087 6.23115577889447 4.01480637813212 1.79384203480589 5.04266873545384 2.22101841820152 2.31679094883003 2.72136010953902 3.14028386587549 3.51433855195825 3.30007864396049 3.24970508456747 3.61816782140108 2.15767634854772 3.08366993652626 3.22040419127798 2.08462508819568 3.19073812532521 3.30807463537847 3.97350993377483 3.76296230361832 3.21694675586012 3.91286364263064 3.6608616363102 2.4286214854464 3.59730932960712 4.2623197870096 3.58699630652514 4.12936527139285 3.006696733634 4.14631249752583 3.82262169040013 3.63279012859895 3.42254548878375 3.38324333169694
"to" 2.3044642211128 2.46331467853523 2.77066356228172 2.68855331219756 2.80795760679712 2.85823114900599 2.62443188116617 3.29405001437195 2.96401660771951 3.69272056356927 3.51786490296459 3.42759315695536 2.64940293229606 2.60630628179666 2.41832376703572 3.20576140336129 3.05220250871355 2.92360892801006 2.9333054255685 2.59154226193661 2.66062741150814 2.74089414057741 3.05457091593366 3.02861906085024 3.23281716924749 3.20566194837635 3.25300876019977 2.46007420551702 3.45949604331529 2.45610354187702 2.23578068056181 2.33798442146323 2.5074701917591 2.59657201330264 2.23978919631094 2.7826603619439 1.5337139687016 2.84332115707375 2.44303734357082 2.14885245276907 2.5245372829016 2.4361147736548 1.98645598194131 1.53220762976861 2.09850107066381 3.33710407239819 1.674574379012 2.99417798724702 1.72077922077922 1.9859329747621 2.09723546234509 1.70293282876064 1.10552763819095 1.56605922551253 2.46318607764391 2.1722265321955 2.16684723726977 2.39907431216251 2.69283432222729 2.85275338623518 2.80564422151289 2.75797939429312 2.85072395164138 2.34026173979985 1.57676348547718 1.40565493364108 2.91941068640098 2.43526971841526 3.15171337248197 2.70512507129471 2.39265114291818 2.79051137122257 2.77913743405667 3.00013787398318 2.71135861824704 2.57240554353999 3.54531569882689 2.69252021901844 2.90237247529365 2.94378578917655 2.41219078857455 2.24852539487748 3.16746981428339 3.43234237517572 2.64341030529859 2.11776577755959
"in" 1.38919036249186 1.40571982549685 2.04141027773158 1.42249290839313 1.76292963083573 1.61883414641293 1.3163729076599 1.52055188272492 1.90681224050438 1.53371351895337 1.50296246833498 1.55170529741018 1.69463863123249 1.79557635280355 1.97763934604608 1.96717177024443 2.00657700411555 1.71105222975704 1.8658334205451 1.60343874293256 1.65744002684113 1.4809529610358 1.44851428821496 1.64361895398294 1.53717286969121 1.73384924327766 1.58556886717791 1.62122923052105 1.88463140358184 1.69553757589268 1.60108103681258 1.69630280630365 2.03846786125267 1.98260424661039 1.8006148440931 1.76020597628302 1.84423229544702 1.71389080856945 1.58298848282395 1.93925478501948 1.94823075863968 1.76806680479689 2.18961625282167 3.03314571607255 1.45610278372591 1.86651583710407 2.02344404130617 1.80205156639867 2.12662337662338 2.02730657840298 1.90657769304099 1.84484389782403 2.21105527638191 2.27790432801822 1.98125836680054 2.1722265321955 2.32936078006501 1.99794291591669 1.94545869465997 2.20017195450253 1.52125449663069 1.58425538018667 1.68308425189159 2.1401077752117 2.15767634854772 1.87651471436815 1.52458113623162 1.99589489213401 1.37144131420501 1.46867106656889 2.30719931638539 1.64003738484134 1.66149997280687 1.68206259478836 1.52749414096352 2.22200741877409 1.55006011763559 1.94152810569147 2.07050876784348 1.82272763932575 1.60926609266093 2.01179684098017 1.55936975472413 1.893840787213 2.24325024127298 1.59821087656139
"i" 1.46516171044063 1.65249195787247 0.820721769499418 1.52313115301185 3.82486160040262 3.02817210917242 1.5159073273473 1.25035929864904 1.52237428878979 2.95672593089567 2.7430654922785 2.7707288643897 0.63650953404238 0.402644394265038 0.39988030793504 1.3885094190258 1.65409684343186 1.1541743387075 1.08690776982074 1.64802825191289 1.4829726555947 1.57666672467501 1.80517264014704 1.08363434287302 1.9650457303269 1.1142675221629 1.07523947275059 1.92773027907727 3.54930237401083 1.79913190574227 0.686567571625514 0.564631665121655 0.696250882401292 0.478748675218361 0.322061191626409 1.84190330007675 1.0583050168358 1.36439924967914 1.20656130029416 0.941760429865762 0.592041855982376 1.12764487976392 1.48984198645598 2.34521575984991 4.75374732334047 2.88461538461538 2.3862684900921 0.720820626559468 2.71103896103896 0.0827472072817542 0.254210359072132 2.64900662251656 0.804020100502513 1.7369020501139 1.52610441767068 1.62916989914663 2.27518959913326 0.737978914888146 0.627567320858056 0.0465122834712258 1.35405583421999 1.09013389257927 1.5816483706392 0.895194105355768 3.81742738589212 0.577034045008656 1.53815979058698 1.53407025721066 2.16494462201739 2.29365273364296 0.384533219397565 1.32849704036673 0.535704573883722 1.17468633668827 0.775427464751584 0.572719693582881 0.188476911578332 1.52961269905059 0.687119422353841 1.80659730623437 1.37351373513735 0.789359091089031 1.03416535816774 3.28916540844484 0.774427418026034 0.67092128947799
"that" 1.17574705158816 1.05539153042789 0.91634791285548 1.18054396796262 1.39879806980668 1.4488931862465 1.01568562243654 1.30784708249497 1.05720436721513 1.18550821871855 1.33761539847584 1.4290744405726 1.09077061175639 1.19433033163751 1.14251516552869 1.62740029283397 1.65212768052301 1.3517761710154 1.28126541779419 1.63019244832076 1.43935581278309 1.67238048831422 1.47914752089624 1.09218372624874 1.15684143801503 1.56487241024636 1.51188494391835 0.911437328601387 1.61260932944606 1.19592441547883 1.25984466920547 1.24965387717756 1.11593544207096 1.13474399736871 0.81979212413995 1.24774094521328 0.870684141990862 1.47497285023201 1.31874158647854 1.40525709059383 0.709073385653311 1.21177874050355 1.21896162528217 1.28205128205128 0.728051391862955 1.24434389140271 1.14429249232487 0.720820626559468 1.18506493506494 1.19983450558544 0.985065141404512 0.851466414380322 0.603015075376884 0.882687927107061 1.39223560910308 1.08611326609775 0.75839653304442 1.74595011571098 1.27225011410315 1.36154138888497 1.09692455793687 1.16976708527676 1.09776164822036 1.40987572858243 0.912863070539419 1.0063473744951 1.12929142055356 1.40899275191892 1.10570133055824 1.63570439175426 0.619525742362743 1.38857982108683 1.06325121009409 1.28774300289535 1.08740702782948 1.75199062382949 1.08861664446105 1.14783744411514 0.82354507037567 0.9678199854827 1.25392920595873 0.951664621353074 1.48356705831393 1.55151767584735 1.4217451686557 1.1004745540828
"was" 1.17212936835251 1.26030053320407 0.88225511391984 0.846299849824796 1.77773172681252 1.73163978376478 0.956102427668773 1.63265306122449 1.12255881900661 2.01207648440121 2.34559657434789 2.44168963465718 0.922122786497294 1.0474195391354 1.08538940725225 1.18254485333782 1.35872240710474 0.862262540979925 1.04205600490379 1.44113293024417 1.32192585136722 1.49835546351565 1.53603781016148 1.48973005321991 1.12967490718102 1.10202282411716 1.18440084054253 1.54057105984836 1.61260932944606 1.09757536815327 1.08649659446105 1.10518522085646 1.47082998907273 1.01140225852428 1.88844971453667 0.673384002178595 0.847568633796414 0.965544476256294 1.0470160043875 0.775035012337681 1.5774670049763 1.07615997990833 0.632054176072235 0.813008130081301 1.15631691648822 1.86651583710407 1.14429249232487 1.58026060438037 1.07142857142857 1.90318576748035 0.667302192564347 0.614947965941343 1.10552763819095 0.854214123006834 0.240963855421687 1.39643134212568 1.13759479956663 1.12111082540499 1.11250570515746 1.30234393719432 0.815726807518873 0.959555241199543 0.900900900900901 0.961178928846365 1.6597510373444 0.865551067512983 0.803403716025075 0.645699258087276 1.08897643648257 1.24052798826693 1.0467848750267 1.06368774756331 0.935443519878175 1.69860747276989 1.0889141754772 1.02823725577855 2.73616481980957 0.585221278947104 0.993245266695505 1.23397048149044 1.4623479568129 1.22402121847908 1.23991553413829 1.64132868225126 1.23814231574983 0.942289859815633
"it" 1.07083423775414 1.13911778962676 0.772492931980708 0.77903387285166 1.01986441280085 1.06945604242664 0.942245870746037 1.25898246622593 0.945717361217899 1.00167728950017 0.951805568804519 0.989546022996321 0.699072436961075 0.829773920613761 0.663746905688093 0.963269652452309 1.20709686312349 0.866753491714196 0.781915768385486 1.86562505573689 1.98288877705083 1.82204200964099 1.30847665310052 1.11355718468805 1.07081409037399 0.722437184699025 0.802336053270748 0.830779157928698 0.903269471053728 1.47785835114544 1.20934168679961 1.29419837954324 0.841303149568228 0.804919051273618 0.775874688918167 1.3393409749214 0.670734996108889 0.9754171191628 1.00214388991375 1.14040185589208 0.819220707696544 0.933006843724493 0.812641083521445 1.21951219512195 1.54175588865096 1.27262443438914 0.795422830030701 1.24757416135292 0.892857142857143 0.703351261894911 0.285986653956149 0.75685903500473 0.703517587939699 0.597949886104784 1.15127175368139 0.775795190069822 1.30010834236186 0.87168938030342 0.661798265632131 0.885142849088782 0.856893144854841 0.862115868768455 0.960259675856006 1.28010557571758 0.995850622406639 0.821696480092325 0.963330089543682 1.32346967137756 1.13171783245373 2.22439501344415 0.512710959196753 1.10596822288486 0.79675857943112 1.13056666207087 1.01581751456281 1.08865072556577 1.07236863484223 1.18048927512935 0.948324626493195 0.629082990563755 1.09676096760968 0.857448240370532 0.855487573772267 1.00874681105847 1.30169714944801 0.882288768886707
"with" 1.05274582157586 1.00030846516547 0.935473141526692 1.22747371933923 0.799313182746677 0.931745264360744 1.27896020396852 0.692727795343489 0.757342764877749 0.954713183495471 0.860652696959098 0.911839341435874 0.835078747653891 0.82705335038224 0.949375697070265 0.723678218896899 0.645885434101963 0.934117752728253 0.838728003946955 0.679544116860185 0.62070122462674 0.664775594730522 0.673931118988228 0.987453779896125 1.02100878384497 1.1191654013812 1.08342657533499 1.26633327956122 1.01390045814244 1.10150933004629 1.08922648540191 1.19427422558781 1.10143021535427 0.891715089719694 1.06865759039672 0.705567796400366 1.31565767473398 0.947773719024583 0.787754898539163 0.805998304164325 0.93526877913495 0.948075594901739 0.880361173814898 0.875547217010632 0.813704496788009 0.650452488687783 0.837287189506001 0.720820626559468 1.16883116883117 1.11708729830368 0.889736256752463 0.804162724692526 0.402010050251256 1.36674259681093 0.72289156626506 0.698215671062839 0.812567713976165 0.737978914888146 0.94705613874943 0.778023650791414 0.993058722196889 0.964006786132943 0.931707353725702 0.822610799516111 0.746887966804979 1.29024812463935 0.983698071076712 1.0305531205234 0.884561064446592 0.662022325429805 1.02542191839351 0.94797276247274 1.03605808451623 0.750034468495795 1.08213201106246 0.69113009436584 0.971630975205537 0.730898678856684 0.927528033806941 1.08073231712235 0.966926335930026 1.12980483749654 0.990849531647626 1.08684333836622 0.765011887107784 1.04524627720504
"as" 0.929744591563563 0.843872559820209 0.724264094461999 1.07312698147839 1.27446046360165 1.0401558768807 0.913147101208292 0.686979016958896 0.565123789020452 0.589734988258974 0.474842867287778 0.517235099136727 0.772515844735196 0.837935631308322 0.837844454721036 1.17203645712925 1.14802197585806 0.741006871154623 0.835737886285825 0.847200670626215 0.905888273779567 0.800515114073404 0.947442125071113 0.899822600294954 0.962147967037943 0.631826419160504 0.766858608738368 0.806581706726891 0.683309037900875 1.16576404096566 0.996410193412773 1.02693136534919 0.76104089506919 0.772027920915104 0.556287512809252 0.678335355135791 0.767049613585755 0.718728403593642 0.668095926609164 0.819336337566571 0.878228201648276 0.885289131663213 0.790067720090293 1.00062539086929 0.599571734475375 1.15950226244344 0.837287189506001 1.38619351261436 0.584415584415584 0.661977658254034 0.635525897680331 0.709555345316935 0.301507537688442 0.683371298405467 1.01740294511379 0.465477114041893 0.975081256771398 1.04397017228079 0.815837517115472 1.03736486772188 0.932259208592998 1.03275842454879 1.14735252349931 0.985373364126251 1.6597510373444 0.73398730525101 1.02066218571073 0.954651386542943 0.98676875046458 0.916646296748961 0.662251655629139 0.7521474030887 0.783162016642193 0.716944712532745 1.03314971251159 1.07898457039982 0.718162025151919 0.783643944341187 0.742854290753003 0.854907653843052 1.02842695093618 0.634970903764697 0.768855920732037 0.756234706096736 1.00275404279359 0.848879070528555
"for" 0.676506765067651 0.696249944916935 0.848993846665558 0.853078591690305 0.892566387400456 0.871679924991576 0.767653253519565 0.891060649611957 0.461325542057512 0.597115062059712 0.479082535745705 0.530590935029929 0.541305116557408 0.56859917838779 0.508691276080629 0.774819080445276 0.866431679892878 0.700588314546189 0.832747768624695 0.743753009791856 0.872336856232176 0.812696865809303 0.77458316922673 0.910509329514609 0.957620211898941 0.754273399617965 0.761400540348771 0.975963865139539 0.631247396917951 0.638613147300646 0.585561606813808 0.514067635409268 0.608252506986684 0.597522201512992 0.468452642365686 0.760032678929518 0.529345137652851 0.693059532036726 0.710475145834372 0.758838828920667 0.775948545465274 0.693162554153325 0.564334085778781 0.469043151969981 0.642398286937901 0.84841628959276 0.739603684063634 0.859439977820904 0.405844155844156 0.206868018204386 0.317762948840165 0.75685903500473 0.50251256281407 0.484054669703872 0.589022757697456 0.930954228083786 0.487540628385699 0.974543584469015 0.696029210406207 0.856953586378948 0.816993464052288 0.825514277093834 0.805476034833833 1.06675464643132 0.995850622406639 0.470859780727063 0.866016399996983 0.869128306001582 0.92172749572586 0.659985333659252 0.534073915829951 0.747696826739063 0.647196388752923 0.824486419412657 0.780702481518602 0.884453197684956 0.669417996295454 0.796202340885116 0.858483346088577 0.766190821840471 0.714090474238076 0.536004117018329 0.877145487032324 0.66642369969282 0.94626085728409 0.55978290514373
