Text, PREDICTED author , WRITTEN by ,,
ADream_1831,Poe,Poe,,
ChroniclesOftheCanongate,Cooper,Scott,,
Destiny1,Cooper,Ferrier,,
HarryandLucy4,Edgeworth,Edgeworth,,
LastDayOfPompeii3,Cooper,Lytton,,
LastMohicans_2,Cooper,Cooper,,
MinorMorals1,BrownCharlesBrockden,Bowring,,
Morella_1835,Poe,Poe,,
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden,,
PericlesAndAspesia2,Cooper,Landor,,
PiazzaTales,Poe,Melville,,
QuakerCity,Poe,Lippard,,
RealLifeInLondon_1,Cooper,Badcock,,
RecollectionsofSouthernMatron_1,Cooper,Gilman,,
Rookwood2,Bird,Ainsworth,,
SheppardLee2,BrownCharlesBrockden,Bird,,
SketchBookOfGeoffreyCrayon,Poe,Irving,,
Spaewife3,Cooper,Galt,,
StLeon_1,BrownCharlesBrockden,Godwin,,
TheCaesars_1851,Cooper,Quincey,,
TheDoctor1,Cooper,Southey,,
TwiceToldTales,Poe,Hawthorne,,
ADream_1831,Poe,Poe,,
Assignation_1834,Poe,Poe,,
BelOfPrairieEden,Poe,Lippard,,
BlithedaleRomance,Bird,Hawthorne,,
Destiny3,Bird,Ferrier,,
HarryandLucy4,Edgeworth,Edgeworth,,
HistOfNY,Cooper,Irving,,
LastDayOfPompeii2,Cooper,Lytton,,
MinorMorals1,BrownCharlesBrockden,Bowring,,
Monikins,Cooper,Cooper,,
NotebookEnglishOpiumEater,Quincey,Quincey,,
Omoo_1847,Poe,Melville,,
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden,,
PericlesAndAspesia2,Cooper,Landor,,
RealLifeInLondon_1,Cooper,Badcock,,
RecollectionsofSouthernMatron_1,Cooper,Gilman,,
Rookwood3,Melville,Ainsworth,,
Spaewife3,Cooper,Galt,,
StLeon_2,BrownCharlesBrockden,Godwin,,
TheDoctor2,Cooper,Southey,,
TheInfidel_v1_1835,Cooper,Bird,,
Woodstock,Cooper,Scott,,
ADream_1831,Poe,Poe,,
BelOfPrairieEden,Poe,Lippard,,
Calavar,Cooper,Bird,,
ConfidenceMan,Cooper,Melville,,
Destiny2,Cooper,Ferrier,,
EnglishMailCoach_1849,Quincey,Quincey,,
HarryandLucy4,Edgeworth,Edgeworth,,
HistOfNY,Cooper,Irving,,
KingPest_1835,Poe,Poe,,
LastDayOfPompeii1,Cooper,Lytton,,
MinorMorals2,Cooper,Bowring,,
MossesFromAnOldManse,Cooper,Hawthorne,,
PericlesAndAspesia2,Cooper,Landor,,
RealLifeInLondon_1,Cooper,Badcock,,
RecollectionsofSouthernMatron_2,Cooper,Gilman,,
Rookwood1,Poe,Ainsworth,,
Spaewife1,Cooper,Galt,,
StLeon_2,BrownCharlesBrockden,Godwin,,
TheAbbot,Cooper,Scott,,
TheBravo1,Cooper,Cooper,,
TheDoctor1,Cooper,Southey,,
Wieland,BrownCharlesBrockden,BrownCharlesBrockden,,
ADream_1831,Poe,Poe,,
BelOfPrairieEden,Poe,Lippard,,
BlithedaleRomance,Cooper,Hawthorne,,
ChroniclesOftheCanongate,Cooper,Scott,,
ConfidenceMan,Cooper,Melville,,
Destiny1,Cooper,Ferrier,,
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden,,
EnglishMailCoach_1849,Quincey,Quincey,,
HarryandLucy2,Edgeworth,Edgeworth,,
LastDayOfPompeii2,Cooper,Lytton,,
LastMohicans_1,Cooper,Cooper,,
MinorMorals2,Cooper,Bowring,,
PericlesAndAspesia2,Cooper,Landor,,
RealLifeInLondon_1,Cooper,Badcock,,
RecollectionsofSouthernMatron_2,Cooper,Gilman,,
Rookwood1,Bird,Ainsworth,,
