Text, PREDICTED author , WRITTEN by 
ADream_1831,Poe,Poe
ArthurMervyn_1793,BrownCharlesBrockden,BrownCharlesBrockden
Calavar,Bird,Bird
Destiny3,Ferrier,Ferrier
HarryandLucy1,Edgeworth,Edgeworth
LastDayOfPompeii3,Lytton,Lytton
MinorMorals2,Bowring,Bowring
MobyDick,Melville,Melville
PericlesAndAspesia1,Landor,Landor
QuakerCity,Irving,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
RipVanWInkle,Irving,Irving
Rookwood1,Ainsworth,Ainsworth
Spaewife2,Galt,Galt
StLeon_1,Godwin,Godwin
TheBravo1,Cooper,Cooper
TheCaesars_1851,Quincey,Quincey
TheDoctor1,Scott,Southey
TheSphinx_1846,Poe,Poe
TwiceToldTales,Cooper,Hawthorne
Woodstock,Scott,Scott
ADream_1831,Poe,Poe
BelOfPrairieEden,Irving,Lippard
Destiny1,Ferrier,Ferrier
EnglishMailCoach_1849,Quincey,Quincey
HarryandLucy2,Edgeworth,Edgeworth
LastDayOfPompeii1,Lytton,Lytton
LastMohicans_1,Cooper,Cooper
MaskOfTheRedDeath_1842,Hawthorne,Poe
MinorMorals2,Bowring,Bowring
MobyDick,Melville,Melville
MossesFromAnOldManse,Hawthorne,Hawthorne
PericlesAndAspesia2,Landor,Landor
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Cooper,Gilman
RipVanWInkle,Irving,Irving
Rookwood1,Hawthorne,Ainsworth
SheppardLee2,Bird,Bird
Spaewife3,Galt,Galt
StLeon_1,Godwin,Godwin
TheAbbot,Scott,Scott
TheDoctor1,Scott,Southey
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Ainsworth,Poe
BracebridgeHall,Irving,Irving
Destiny3,Ferrier,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
FallOfHouseUsher_1839,Poe,Poe
HarryandLucy4,Edgeworth,Edgeworth
LastDayOfPompeii3,Lytton,Lytton
LastMohicans_1,Cooper,Cooper
MinorMorals1,Bowring,Bowring
MobyDick,Melville,Melville
NotebookEnglishOpiumEater,Quincey,Quincey
PericlesAndAspesia1,Landor,Landor
QuakerCity,Irving,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
SheppardLee1,Bird,Bird
Spaewife3,Galt,Galt
StLeon_1,Godwin,Godwin
TheDoctor1,Scott,Southey
Woodstock,Scott,Scott
ADream_1831,Poe,Poe
Assignation_1834,Poe,Poe
BlithedaleRomance,Hawthorne,Hawthorne
ChroniclesOftheCanongate,Scott,Scott
ConfidenceMan,Melville,Melville
Destiny2,Ferrier,Ferrier
HarryandLucy1,Edgeworth,Edgeworth
LastDayOfPompeii1,Lytton,Lytton
LastMohicans_4,Cooper,Cooper
MinorMorals3,Cooper,Bowring
NotebookEnglishOpiumEater,Quincey,Quincey
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
QuakerCity,Irving,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood3,Ainsworth,Ainsworth
SheppardLee1,Bird,Bird
SketchBookOfGeoffreyCrayon,Irving,Irving
Spaewife2,Galt,Galt
StLeon_1,Godwin,Godwin
TheDoctor1,Scott,Southey
ADream_1831,Poe,Poe
Calavar,Bird,Bird
Destiny3,Ferrier,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
Helen,Ainsworth,Edgeworth
LastDayOfPompeii3,Lytton,Lytton
LastMohicans_2,Cooper,Cooper
Metzengerstein_1832,Hawthorne,Poe
MinorMorals1,Bowring,Bowring
Omoo_1847,Irving,Melville
PericlesAndAspesia2,Landor,Landor
QuakerCity,Irving,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Cooper,Gilman
RipVanWInkle,Irving,Irving
Rookwood1,Hawthorne,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
Spaewife1,Galt,Galt
StLeon_1,Godwin,Godwin
TheCaesars_1851,Quincey,Quincey
TheDoctor1,Southey,Southey
ThePirate_1822,Scott,Scott
ADream_1831,Poe,Poe
BelOfPrairieEden,Lippard,Lippard
Calavar,Bird,Bird
ChroniclesOftheCanongate,Scott,Scott
Destiny2,Ferrier,Ferrier
HarryandLucy3,Edgeworth,Edgeworth
HistOfNY,Irving,Irving
LastDayOfPompeii3,Lytton,Lytton
LastMohicans_3,Cooper,Cooper
MinorMorals1,Bowring,Bowring
MossesFromAnOldManse,Hawthorne,Hawthorne
NotebookEnglishOpiumEater,Quincey,Quincey
Omoo_1847,Irving,Melville
PericlesAndAspesia1,Landor,Landor
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Cooper,Gilman
Rookwood3,Ainsworth,Ainsworth
Spaewife3,Galt,Galt
StLeon_1,Godwin,Godwin
TheDoctor2,Southey,Southey
TheOvalPortrait_1842,Lytton,Poe
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Ainsworth,Poe
BelOfPrairieEden,Lippard,Lippard
ChroniclesOftheCanongate,Scott,Scott
Destiny1,Ferrier,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
EnglishMailCoach_1849,Quincey,Quincey
HarryandLucy1,Edgeworth,Edgeworth
LastDayOfPompeii2,Lytton,Lytton
MinorMorals2,Bowring,Bowring
Monikins,Cooper,Cooper
NickOfTheWoods_1837,Bird,Bird
PericlesAndAspesia1,Landor,Landor
PiazzaTales,Melville,Melville
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_2,Cooper,Gilman
Rookwood2,Ainsworth,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
SketchBookOfGeoffreyCrayon,Irving,Irving
Spaewife1,Galt,Galt
StLeon_1,Godwin,Godwin
TheDoctor2,Southey,Southey
TheSphinx_1846,Poe,Poe
ADream_1831,Ainsworth,Poe
Calavar,Bird,Bird
ChroniclesOftheCanongate,Scott,Scott
Destiny3,Ferrier,Ferrier
FallOfHouseUsher_1839,Poe,Poe
HarryandLucy3,Edgeworth,Edgeworth
HistOfNY,Badcock,Irving
Klosterheim,Poe,Quincey
LastDayOfPompeii2,Lytton,Lytton
LastMohicans_2,Cooper,Cooper
MinorMorals3,Cooper,Bowring
Omoo_1847,Irving,Melville
PericlesAndAspesia2,Landor,Landor
QuakerCity,Irving,Lippard
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
Spaewife3,Galt,Galt
StLeon_1,Godwin,Godwin
TheDoctor2,Southey,Southey
TwiceToldTales,Hawthorne,Hawthorne
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Poe,Poe
BlithedaleRomance,Hawthorne,Hawthorne
BracebridgeHall,Irving,Irving
ConfidenceMan,Melville,Melville
Destiny1,Ferrier,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
HarryandLucy3,Edgeworth,Edgeworth
LastDayOfPompeii2,Lytton,Lytton
MinorMorals3,Cooper,Bowring
Morella_1835,Poe,Poe
PericlesAndAspesia1,Landor,Landor
PocketHandkerchief,Cooper,Cooper
QuakerCity,Irving,Lippard
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_2,Cooper,Gilman
Rookwood1,Hawthorne,Ainsworth
SheppardLee1,Bird,Bird
Spaewife1,Galt,Galt
StLeon_2,Godwin,Godwin
TheAbbot,Scott,Scott
TheCaesars_1851,Quincey,Quincey
TheDoctor2,Scott,Southey
ADream_1831,Poe,Poe
BelOfPrairieEden,Lippard,Lippard
CaskOfAmontillado_1846,Poe,Poe
Destiny3,Ferrier,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
HarryandLucy4,Edgeworth,Edgeworth
HistOfNY,Cooper,Irving
Klosterheim,Poe,Quincey
LastDayOfPompeii2,Lytton,Lytton
MinorMorals3,Cooper,Bowring
MobyDick,Melville,Melville
NickOfTheWoods_1837,Bird,Bird
