Text, PREDICTED author , WRITTEN by 
ADream_1831,Poe,Poe
BelOfPrairieEden,Lippard,Lippard
BlithedaleRomance,Hawthorne,Hawthorne
Destiny1,Ferrier,Ferrier
EnglishMailCoach_1849,Quincey,Quincey
HarryandLucy2,Edgeworth,Edgeworth
LastDayOfPompeii3,Lytton,Lytton
MinorMorals1,Bowring,Bowring
Omoo_1847,Irving,Melville
PericlesAndAspesia1,Landor,Landor
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
RipVanWInkle,Irving,Irving
Rookwood2,Ainsworth,Ainsworth
SheppardLee2,Bird,Bird
Spaewife1,Galt,Galt
StLeon_2,Godwin,Godwin
TheAbbot,Scott,Scott
TheBravo1,Cooper,Cooper
TheDoctor2,Southey,Southey
TheMesmericRevelation_1844,Landor,Poe
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Poe,Poe
BlithedaleRomance,Hawthorne,Hawthorne
Destiny3,Ferrier,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
FallOfHouseUsher_1839,Poe,Poe
HarryandLucy4,Edgeworth,Edgeworth
LastDayOfPompeii3,Lytton,Lytton
MinorMorals3,Bowring,Bowring
Omoo_1847,Irving,Melville
PericlesAndAspesia2,Landor,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
RipVanWInkle,Irving,Irving
Rookwood2,Ainsworth,Ainsworth
SheppardLee1,Bird,Bird
Spaewife3,Galt,Galt
StLeon_1,Godwin,Godwin
TheBravo2,Cooper,Cooper
TheCaesars_1851,Quincey,Quincey
TheDoctor1,Southey,Southey
Woodstock,Scott,Scott
ADream_1831,Poe,Poe
BelOfPrairieEden,Lippard,Lippard
BlithedaleRomance,Hawthorne,Hawthorne
Destiny2,Ferrier,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
HarryandLucy4,Edgeworth,Edgeworth
Klosterheim,Melville,Quincey
LastDayOfPompeii3,Lytton,Lytton
MinorMorals3,Bowring,Bowring
NickOfTheWoods_1837,Hawthorne,Bird
Omoo_1847,Irving,Melville
PericlesAndAspesia2,Landor,Landor
PocketHandkerchief,Cooper,Cooper
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
RipVanWInkle,Irving,Irving
Rookwood3,Ainsworth,Ainsworth
Spaewife3,Galt,Galt
StLeon_2,Godwin,Godwin
TheDoctor1,Southey,Southey
TheManOfTheCrowd_1840,Irving,Poe
Woodstock,Scott,Scott
ADream_1831,Poe,Poe
Berenice_1835,Poe,Poe
Calavar,Bird,Bird
Destiny2,Ferrier,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
LastDayOfPompeii2,Lytton,Lytton
MinorMorals3,Bowring,Bowring
Omoo_1847,Irving,Melville
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia1,Landor,Landor
PocketHandkerchief,Cooper,Cooper
QuakerCity,Lippard,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
RipVanWInkle,Irving,Irving
Rookwood3,Ainsworth,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
Spaewife2,Galt,Galt
StLeon_1,Godwin,Godwin
TheCaesars_1851,Quincey,Quincey
TheDoctor2,Southey,Southey
ThePirate_1822,Scott,Scott
ADream_1831,Poe,Poe
ArthurMervyn_1793,BrownCharlesBrockden,BrownCharlesBrockden
BelOfPrairieEden,Lippard,Lippard
BlithedaleRomance,Hawthorne,Hawthorne
Destiny1,Ferrier,Ferrier
Helen,Edgeworth,Edgeworth
LastDayOfPompeii1,Lytton,Lytton
Ligeia_1838,Hawthorne,Poe
MinorMorals3,Bowring,Bowring
NotebookEnglishOpiumEater,Quincey,Quincey
Omoo_1847,Irving,Melville
PericlesAndAspesia1,Landor,Landor
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
Rookwood1,Hawthorne,Ainsworth
SketchBookOfGeoffreyCrayon,Irving,Irving
Spaewife3,Galt,Galt
StLeon_1,Godwin,Godwin
TheBravo1,Cooper,Cooper
