Text, PREDICTED author , WRITTEN by 
ADream_1831,Poe,Poe
ConfidenceMan,Melville,Melville
Destiny1,Ferrier,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
EnglishMailCoach_1849,Quincey,Quincey
HarryandLucy2,Edgeworth,Edgeworth
HopFrog_1849,Badcock,Poe
LastDayOfPompeii2,Lytton,Lytton
MinorMorals3,Bowring,Bowring
NickOfTheWoods_1837,Scott,Bird
PericlesAndAspesia1,Landor,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood3,Ainsworth,Ainsworth
SketchBookOfGeoffreyCrayon_1,Irving,Irving
Spaewife3,Galt,Galt
StLeon_2,Godwin,Godwin
TheAbbot1,Scott,Scott
TheBravo1,Cooper,Cooper
TheDoctor1,Southey,Southey
TwiceToldTales_2,Hawthorne,Hawthorne
ADream_1831,Poe,Poe
Berenice_1835,Poe,Poe
ChroniclesOftheCanongate2,Scott,Scott
Destiny3,Ferrier,Ferrier
EnglishMailCoach_1849,Quincey,Quincey
HarryandLucy4,Edgeworth,Edgeworth
LastDayOfPompeii1,Lytton,Lytton
MinorMorals3,Bowring,Bowring
MobyDick_3,Melville,Melville
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
PocketHandkerchief,Cooper,Cooper
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
SketchBookOfGeoffreyCrayon_1,Irving,Irving
Spaewife3,Galt,Galt
StLeon_2,Godwin,Godwin
TheDoctor2,Southey,Southey
TheInfidel_v1_1835,Bird,Bird
TwiceToldTales_3,Hawthorne,Hawthorne
ADream_1831,Poe,Poe
ArthurMervyn_1793,BrownCharlesBrockden,BrownCharlesBrockden
BelOfPrairieEden,Lippard,Lippard
BracebridgeHall2,Irving,Irving
Destiny3,Ferrier,Ferrier
HarryandLucy1,Edgeworth,Edgeworth
