Text, PREDICTED author , WRITTEN by 
ADream_1831,Poe,Poe
BelOfPrairieEden,Poe,Lippard
Destiny1,Ferrier,Ferrier
HarryandLucy1,Edgeworth,Edgeworth
HistOfNY,Irving,Irving
Klosterheim_2,Poe,Quincey
LastDayOfPompeii1,Scott,Lytton
LastMohicans_3,Cooper,Cooper
MinorMorals3,Cooper,Bowring
MobyDick_3,Melville,Melville
PericlesAndAspesia2,Scott,Landor
RealLifeInLondon_2,Cooper,Badcock
RecollectionsofSouthernMatron_1,Irving,Gilman
Rookwood1,Hawthorne,Ainsworth
Spaewife3,Cooper,Galt
StLeon_1,Godwin,Godwin
TheAbbot1,Scott,Scott
TheDoctor2,Scott,Southey
TheInfidel_v1_1835,Scott,Bird
TheOvalPortrait_1842,Poe,Poe
TwiceToldTales_1,Hawthorne,Hawthorne
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Poe,Poe
Assignation_1834,Poe,Poe
ConfidenceMan,Melville,Melville
Destiny3,Scott,Ferrier
EnglishMailCoach_1849,Quincey,Quincey
Helen,Edgeworth,Edgeworth
HistOfNY,Irving,Irving
LastDayOfPompeii2,Scott,Lytton
LastMohicans_3,Cooper,Cooper
MinorMorals3,Cooper,Bowring
PericlesAndAspesia2,Scott,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_2,Irving,Badcock
RecollectionsofSouthernMatron_1,Cooper,Gilman
Rookwood1,Hawthorne,Ainsworth
SheppardLee1,Godwin,Bird
Spaewife2,Cooper,Galt
StLeon_1,Godwin,Godwin
TheDoctor1,Scott,Southey
ThePirate_1822,Scott,Scott
TwiceToldTales_2,Hawthorne,Hawthorne
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Poe,Poe
BlithedaleRomance,Scott,Hawthorne
Destiny2,Scott,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
LastDayOfPompeii1,Scott,Lytton
LastMohicans_1,Cooper,Cooper
MinorMorals1,BrownCharlesBrockden,Bowring
MobyDick_1,Melville,Melville
NickOfTheWoods_1837,Scott,Bird
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia1,Edgeworth,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Irving,Badcock
RecollectionsofSouthernMatron_2,Irving,Gilman
Rookwood2,Melville,Ainsworth
SketchBookOfGeoffreyCrayon_3,Irving,Irving
Spaewife1,Scott,Galt
StLeon_2,BrownCharlesBrockden,Godwin
TheCaesars_1851,Quincey,Quincey
TheDoctor1,Scott,Southey
TheSphinx_1846,Poe,Poe
Woodstock1,Scott,Scott
ADream_1831,Poe,Poe
BracebridgeHall2,Irving,Irving
ChroniclesOftheCanongate2,Scott,Scott
Destiny2,Scott,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
HarryandLucy1,Edgeworth,Edgeworth
LastDayOfPompeii2,Scott,Lytton
MaskOfTheRedDeath_1842,Irving,Poe
MinorMorals3,Cooper,Bowring
NotebookEnglishOpiumEater,Quincey,Quincey
Omoo_1847,Irving,Melville
PericlesAndAspesia2,Scott,Landor
PocketHandkerchief,Edgeworth,Cooper
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Irving,Badcock
RecollectionsofSouthernMatron_1,Cooper,Gilman
Rookwood1,Hawthorne,Ainsworth
SheppardLee2,Godwin,Bird
Spaewife2,Cooper,Galt
StLeon_2,Godwin,Godwin
TheDoctor1,Scott,Southey
TwiceToldTales_4,Irving,Hawthorne
ADream_1831,Poe,Poe
Destiny1,Scott,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
LastDayOfPompeii3,Scott,Lytton
MinorMorals2,Cooper,Bowring
MobyDick_4,Melville,Melville
NotebookEnglishOpiumEater,Quincey,Quincey
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia1,Edgeworth,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Irving,Badcock
RecollectionsofSouthernMatron_1,Cooper,Gilman
Rookwood2,Melville,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
SketchBookOfGeoffreyCrayon_4,Irving,Irving
Spaewife3,Scott,Galt
StLeon_2,BrownCharlesBrockden,Godwin
TheAbbot2,Scott,Scott
TheBravo2,Cooper,Cooper
TheDoctor2,Scott,Southey
TheInfidel_v1_1835,Scott,Bird
TheSphinx_1846,Poe,Poe
ADream_1831,Poe,Poe
ChroniclesOftheCanongate3,Scott,Scott
Destiny2,Scott,Ferrier
EnglishMailCoach_1849,Quincey,Quincey
HarryandLucy4,Edgeworth,Edgeworth
HistOfNY,Irving,Irving
LastDayOfPompeii2,Scott,Lytton
LastMohicans_2,Cooper,Cooper
MinorMorals2,Cooper,Bowring
Omoo_1847,Irving,Melville
PericlesAndAspesia2,Scott,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Irving,Badcock
RecollectionsofSouthernMatron_1,Irving,Gilman
Rookwood3,Bird,Ainsworth
SheppardLee2,Godwin,Bird
Spaewife1,Scott,Galt
StLeon_1,Godwin,Godwin
TheDoctor2,Scott,Southey
TheOvalPortrait_1842,Poe,Poe
TwiceToldTales_1,Hawthorne,Hawthorne
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Poe,Poe
BelOfPrairieEden,Poe,Lippard
BracebridgeHall1,Irving,Irving
Destiny2,Scott,Ferrier
EdgarHuntley,BrownCharlesBrockden,BrownCharlesBrockden
HarryandLucy4,Edgeworth,Edgeworth
Klosterheim_1,Quincey,Quincey
LastDayOfPompeii1,Scott,Lytton
LastMohicans_2,Scott,Cooper
Metzengerstein_1832,Irving,Poe
MinorMorals2,Cooper,Bowring
MobyDick_2,Melville,Melville
PericlesAndAspesia1,Scott,Landor
RealLifeInLondon_2,Irving,Badcock
RecollectionsofSouthernMatron_2,Irving,Gilman
Rookwood1,Hawthorne,Ainsworth
SheppardLee1,Godwin,Bird
Spaewife1,Scott,Galt
StLeon_1,Godwin,Godwin
TheDoctor1,Scott,Southey
TwiceToldTales_2,Hawthorne,Hawthorne
Woodstock1,Scott,Scott
ADream_1831,Poe,Poe
ArthurMervyn_1793,BrownCharlesBrockden,BrownCharlesBrockden
Destiny3,Scott,Ferrier
Helen,Edgeworth,Edgeworth
HistOfNY,Irving,Irving
LastDayOfPompeii2,Scott,Lytton
LastMohicans_2,Scott,Cooper
MinorMorals1,BrownCharlesBrockden,Bowring
MobyDick_2,Melville,Melville
NotebookEnglishOpiumEater,Quincey,Quincey
PericlesAndAspesia2,Scott,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Irving,Badcock
RecollectionsofSouthernMatron_2,Irving,Gilman
Rookwood1,Hawthorne,Ainsworth
SheppardLee2,Godwin,Bird
Spaewife3,Scott,Galt
StLeon_1,Godwin,Godwin
TheDoctor2,Scott,Southey
TheSphinx_1846,Poe,Poe
TwiceToldTales_4,Hawthorne,Hawthorne
Woodstock2,Scott,Scott
ADream_1831,Poe,Poe
Destiny3,Scott,Ferrier
EnglishMailCoach_1849,Quincey,Quincey
HarryandLucy3,Edgeworth,Edgeworth
HistOfNY,Irving,Irving
LastDayOfPompeii2,Scott,Lytton
Ligeia_1838,Poe,Poe
MinorMorals1,BrownCharlesBrockden,Bowring
MobyDick_2,Melville,Melville
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia1,Scott,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Cooper,Badcock
RecollectionsofSouthernMatron_1,Cooper,Gilman
Rookwood2,Melville,Ainsworth
SheppardLee2,Godwin,Bird
Spaewife3,Scott,Galt
StLeon_2,BrownCharlesBrockden,Godwin
TheBravo2,Cooper,Cooper
TheDoctor2,Quincey,Southey
TwiceToldTales_2,Hawthorne,Hawthorne
Woodstock1,Scott,Scott
ADream_1831,Poe,Poe
ArthurMervyn_1793,BrownCharlesBrockden,BrownCharlesBrockden
Destiny2,Scott,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
Klosterheim_2,Poe,Quincey
LastDayOfPompeii1,Scott,Lytton
LastMohicans_3,Cooper,Cooper
Ligeia_1838,Poe,Poe
MinorMorals3,Cooper,Bowring
MobyDick_4,Melville,Melville
MossesFromAnOldManse,Hawthorne,Hawthorne
PericlesAndAspesia2,Scott,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Irving,Badcock
RecollectionsofSouthernMatron_1,Cooper,Gilman
RipVanWInkle,Irving,Irving
Rookwood2,Melville,Ainsworth
SheppardLee1,Godwin,Bird
Spaewife3,Scott,Galt
StLeon_2,Godwin,Godwin
TheDoctor2,Quincey,Southey
Woodstock1,Scott,Scott

Author,TruePOS,TrueNEG,FalsePOS,FalseNEG
Melville,8,206,4,2
Lippard,8,210,0,2
Edgeworth,10,207,3,0
Bird,0,209,1,10
Hawthorne,8,205,5,2
Ferrier,1,210,0,9
Badcock,0,210,0,10
Southey,0,210,0,10
Gilman,0,210,0,10
Irving,10,192,18,0
Landor,0,210,0,10
Poe,18,196,4,2
Cooper,7,193,17,3
BrownCharlesBrockden,10,204,6,0
Godwin,7,203,7,3
Ainsworth,0,210,0,10
Scott,10,162,48,0
Quincey,8,208,2,2
Galt,0,210,0,10
Lytton,0,210,0,10
Bowring,0,210,0,10

Author:,Times predicted to write [A Dream]
Melville,0
Lippard,0
Edgeworth,0
Bird,0
Hawthorne,0
Ferrier,0
Badcock,0
Southey,0
Gilman,0
Irving,0
Landor,0
Poe,10
Cooper,0
BrownCharlesBrockden,0
Godwin,0
Ainsworth,0
Scott,0
Quincey,0
Galt,0
Lytton,0
Bowring,0
