Text, PREDICTED author , WRITTEN by 
ADream_1831,Poe,Poe
Assignation_1834,Poe,Poe
Calavar,Bird,Bird
ConfidenceMan,Melville,Melville
Destiny3,Ferrier,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
Klosterheim_1,Quincey,Quincey
LastDayOfPompeii2,Lytton,Lytton
LastMohicans_4,Cooper,Cooper
MinorMorals1,Bowring,Bowring
PericlesAndAspesia2,Landor,Landor
QuakerCity,Irving,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Cooper,Gilman
Rookwood3,Ainsworth,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
SketchBookOfGeoffreyCrayon_1,Irving,Irving
Spaewife2,Galt,Galt
StLeon_2,Godwin,Godwin
TheAbbot1,Scott,Scott
TheDoctor2,Southey,Southey
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Bird,Poe
BelOfPrairieEden,Irving,Lippard
Destiny3,Ferrier,Ferrier
HarryandLucy2,Edgeworth,Edgeworth
Klosterheim_2,Poe,Quincey
LastDayOfPompeii1,Lytton,Lytton
LastMohicans_2,Cooper,Cooper
MaskOfTheRedDeath_1842,Hawthorne,Poe
MinorMorals2,Bowring,Bowring
MobyDick_4,Melville,Melville
MossesFromAnOldManse,Hawthorne,Hawthorne
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
Rookwood1,Hawthorne,Ainsworth
SketchBookOfGeoffreyCrayon_2,Irving,Irving
Spaewife1,Galt,Galt
StLeon_2,Godwin,Godwin
TheDoctor2,Southey,Southey
TheInfidel_v1_1835,Scott,Bird
Woodstock2,Scott,Scott
ADream_1831,Ainsworth,Poe
BelOfPrairieEden,Irving,Lippard
BracebridgeHall2,Irving,Irving
ChroniclesOftheCanongate2,Scott,Scott
Destiny3,Ferrier,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
Klosterheim_2,Poe,Quincey
LastDayOfPompeii3,Lytton,Lytton
MinorMorals1,Bowring,Bowring
MobyDick_4,Melville,Melville
MossesFromAnOldManse,Hawthorne,Hawthorne
NickOfTheWoods_1837,Hawthorne,Bird
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
Spaewife3,Galt,Galt
StLeon_1,Godwin,Godwin
TheBravo2,Cooper,Cooper
TheDoctor2,Southey,Southey
TheMesmericRevelation_1844,Landor,Poe
ADream_1831,Poe,Poe
BelOfPrairieEden,Lippard,Lippard
Destiny2,Ferrier,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
HistOfNY,Badcock,Irving
Klosterheim_1,Quincey,Quincey
LastDayOfPompeii1,Lytton,Lytton
LastMohicans_1,Cooper,Cooper
Ligeia_1838,Hawthorne,Poe
MinorMorals2,Bowring,Bowring
Omoo_1847,Irving,Melville
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_2,Cooper,Gilman
Rookwood1,Hawthorne,Ainsworth
SheppardLee2,Bird,Bird
Spaewife3,Galt,Galt
StLeon_1,Godwin,Godwin
TheDoctor2,Southey,Southey
TwiceToldTales_3,Hawthorne,Hawthorne
Woodstock2,Scott,Scott
ADream_1831,Poe,Poe
BelOfPrairieEden,Irving,Lippard
BracebridgeHall2,Irving,Irving
Destiny2,Ferrier,Ferrier
HarryandLucy2,Edgeworth,Edgeworth
KingPest_1835,Irving,Poe
Klosterheim_2,Poe,Quincey
LastDayOfPompeii1,Lytton,Lytton
LastMohicans_2,Cooper,Cooper
MinorMorals2,Bowring,Bowring
MobyDick_3,Melville,Melville
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Irving,Gilman
Rookwood1,Hawthorne,Ainsworth
SheppardLee1,Bird,Bird
Spaewife2,Galt,Galt
StLeon_2,Godwin,Godwin
TheAbbot1,Scott,Scott
TheDoctor1,Scott,Southey
TwiceToldTales_4,Hawthorne,Hawthorne
ADream_1831,Bird,Poe
BracebridgeHall1,Irving,Irving
ChroniclesOftheCanongate2,Scott,Scott
ConfidenceMan,Melville,Melville
Destiny1,Ferrier,Ferrier
HarryandLucy1,Edgeworth,Edgeworth
Klosterheim_2,Poe,Quincey
LastDayOfPompeii3,Lytton,Lytton
LastMohicans_3,Cooper,Cooper
MinorMorals3,Cooper,Bowring
PericlesAndAspesia2,Landor,Landor
QuakerCity,Irving,Lippard
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_2,Cooper,Gilman
Rookwood1,Hawthorne,Ainsworth
ShadowAParable_1835,Poe,Poe
Spaewife3,Galt,Galt
StLeon_2,Godwin,Godwin
TheDoctor2,Southey,Southey
TheInfidel_v1_1835,Scott,Bird
TwiceToldTales_4,Hawthorne,Hawthorne
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Poe,Poe
Calavar,Bird,Bird
Destiny3,Ferrier,Ferrier
HarryandLucy1,Edgeworth,Edgeworth
Klosterheim_1,Quincey,Quincey
