"Ainsworth_Rookwood1" "Ainsworth_Rookwood3" "Badcock_RealLifeInLondon_2" "Bird_Calavar" "Bird_NickOfTheWoods_1837" "Bird_SheppardLee1" "Bird_TheInfidel_v1_1835" "Bowring_MinorMorals2" "Bowring_MinorMorals3" "BrownCharlesBrockden_EdgarHuntley" "BrownCharlesBrockden_Ormond_1799" "BrownCharlesBrockden_Wieland" "Cooper_LastMohicans_1" "Cooper_LastMohicans_3" "Cooper_LastMohicans_4" "Cooper_Monikins" "Cooper_PocketHandkerchief" "Cooper_TheBravo1" "Cooper_TheBravo2" "Edgeworth_HarryandLucy1" "Edgeworth_HarryandLucy2" "Edgeworth_HarryandLucy3" "Edgeworth_Helen" "Ferrier_Destiny1" "Ferrier_Destiny3" "Galt_Spaewife2" "Galt_Spaewife3" "Gilman_RecollectionsofSouthernMatron_1" "Godwin_StLeon_2" "Hawthorne_BlithedaleRomance" "Hawthorne_MossesFromAnOldManse" "Hawthorne_TwiceToldTales_1" "Hawthorne_TwiceToldTales_2" "Hawthorne_TwiceToldTales_3" "Hawthorne_TwiceToldTales_4" "Irving_BracebridgeHall1" "Irving_BracebridgeHall2" "Irving_HistOfNY" "Irving_RipVanWInkle" "Irving_SketchBookOfGeoffreyCrayon_1" "Irving_SketchBookOfGeoffreyCrayon_3" "Irving_SketchBookOfGeoffreyCrayon_4" "Landor_PericlesAndAspesia1" "Lippard_QuakerCity" "Lytton_LastDayOfPompeii2" "Lytton_LastDayOfPompeii3" "Melville_ConfidenceMan" "Melville_MobyDick_1" "Melville_MobyDick_2" "Melville_MobyDick_3" "Melville_Omoo_1847" "Melville_PiazzaTales" "Poe_Assignation_1834" "Poe_Berenice_1835" "Poe_CaskOfAmontillado_1846" "Poe_FactsOfTheCaseOfMValdemar_1845" "Poe_FallOfHouseUsher_1839" "Poe_HopFrog_1849" "Poe_KingPest_1835" "Poe_Ligeia_1838" "Poe_MaskOfTheRedDeath_1842" "Poe_Metzengerstein_1832" "Poe_Morella_1835" "Poe_ShadowAParable_1835" "Poe_TheManOfTheCrowd_1840" "Poe_TheMesmericRevelation_1844" "Poe_TheSphinx_1846" "Quincey_EnglishMailCoach_1849" "Quincey_Klosterheim_1" "Quincey_NotebookEnglishOpiumEater" "Quincey_TheCaesars_1851" "Scott_ChroniclesOftheCanongate1" "Scott_ChroniclesOftheCanongate2" "Scott_ChroniclesOftheCanongate3" "Scott_TheAbbot1" "Scott_TheAbbot2" "Scott_TheAbbot3" "Scott_ThePirate_1822" "Scott_Woodstock2" "Scott_Woodstock3" "Southey_TheDoctor1" "ADream_1831" "ArthurMervyn_1793" "BelOfPrairieEden" "Destiny2" "HarryandLucy4" "Klosterheim_2" "LastDayOfPompeii1" "LastMohicans_2" "MinorMorals1" "MobyDick_4" "PericlesAndAspesia2" "RealLifeInLondon_1" "RecollectionsofSouthernMatron_2" "Rookwood2" "ScarletLetter" "SheppardLee2" "SketchBookOfGeoffreyCrayon_2" "Spaewife1" "StLeon_1" "TheDoctor2" "TheOvalPortrait_1842" "Woodstock1"
"and" 3.006696733634 2.44128145243026 3.60635290204557 3.45924411813783 3.6608616363102 3.84410432517244 3.16483760115287 3.91286364263064 3.76749192680301 3.52210457142251 3.59730932960712 3.15440560459441 2.76636835949188 3.19667002203662 3.18000054405484 2.85548152974226 2.82574877419609 3.29186688822024 2.55505554143556 3.30807463537847 3.24968341448624 3.4289548733434 2.98017592227911 3.7360805351914 3.24187267952549 3.61953274232257 4.02259640313293 3.61348604613647 3.54279466888796 3.03701858141334 3.10525094522474 3.43868451910229 3.28105822991954 3.32742397381699 3.48580312576712 4.01749766044963 4.08443841147193 3.63812447465556 3.57195139803835 3.93957627387022 4.13579074038888 4.41833211921579 4.16656351348006 2.84783060955595 3.76296230361832 4.2429077130179 2.08462508819568 3.14578053846007 2.78624790364385 2.8169014084507 3.18640467339352 2.49387831983424 2.7765237020316 4.56535334584115 2.61241970021413 2.31900452488688 3.41892269048284 2.99417798724702 3.97350993377483 3.19805194805195 5.17170045510964 3.11407689863362 5.3926206244087 6.23115577889447 4.01480637813212 1.79384203480589 2.22101841820152 2.31679094883003 2.57902544790597 2.4286214854464 3.14028386587549 3.2737228403332 3.14767625288193 3.22669677581232 3.58518098171943 3.57239757619607 3.38846233268881 3.30007864396049 3.26115717057682 2.9530931339225 3.61816782140108 2.15767634854772 3.60348876216035 3.08366993652626 3.19073812532521 3.12896994587822 2.86366229321164 3.76740053312272 3.21694675586012 3.93791319344639 3.27606567368862 4.2623197870096 3.58699630652514 4.12936527139285 2.59387887996527 3.28666193130515 3.69182085878785 4.09158564778161 3.82262169040013 3.63279012859895 3.42254548878375 5.04266873545384 3.45355362819356
"to" 2.41219078857455 2.46331467853523 2.77066356228172 2.68855331219756 2.71135861824704 2.80795760679712 2.62443188116617 3.00013787398318 2.96401660771951 3.51786490296459 3.54531569882689 3.42759315695536 2.64940293229606 2.60630628179666 2.41832376703572 3.20576140336129 3.05220250871355 2.92360892801006 2.9333054255685 2.70512507129471 2.59154226193661 2.66062741150814 3.05457091593366 3.02861906085024 3.23281716924749 3.20566194837635 3.25300876019977 2.46007420551702 3.45949604331529 2.45610354187702 2.23578068056181 2.29336532955196 2.02100095458884 2.10282285558434 2.05384174781114 2.65947028226947 2.3859246110473 2.59657201330264 2.23978919631094 2.47331918801659 2.11223003356767 2.28042948088557 2.7826603619439 1.5337139687016 2.79051137122257 2.44303734357082 2.43526971841526 2.27121163043271 2.14971794480866 2.19939392784311 2.5245372829016 2.4361147736548 1.98645598194131 1.53220762976861 2.09850107066381 3.33710407239819 1.674574379012 2.99417798724702 2.39265114291818 1.72077922077922 1.9859329747621 2.09723546234509 1.70293282876064 1.10552763819095 1.56605922551253 2.46318607764391 2.16684723726977 2.39907431216251 2.64749515006276 2.57240554353999 2.85275338623518 2.95916584143997 2.89042591918456 2.89800526910049 2.81099266345102 2.93750565252781 2.66383825489497 2.75797939429312 2.76503792556006 3.04282800815772 2.34026173979985 1.57676348547718 3.69272056356927 1.40565493364108 3.15171337248197 2.74089414057741 2.73816314888762 2.84332115707375 2.77913743405667 3.29405001437195 1.97516285093901 2.69252021901844 2.90237247529365 2.94378578917655 2.3044642211128 2.33798442146323 2.85823114900599 2.12813123475948 3.16746981428339 3.43234237517572 2.64341030529859 2.1722265321955 2.78835210549037
"in" 1.60926609266093 1.40571982549685 2.04141027773158 1.42249290839313 1.52749414096352 1.76292963083573 1.3163729076599 1.68206259478836 1.90681224050438 1.50296246833498 1.55006011763559 1.55170529741018 1.69463863123249 1.79557635280355 1.97763934604608 1.96717177024443 2.00657700411555 1.71105222975704 1.8658334205451 1.46867106656889 1.60343874293256 1.65744002684113 1.44851428821496 1.64361895398294 1.53717286969121 1.73384924327766 1.58556886717791 1.62122923052105 1.88463140358184 1.69553757589268 1.60108103681258 1.65525892394535 1.63916541660985 1.54643392881495 1.5519733791561 1.97828026725282 2.08659635933312 1.98260424661039 1.8006148440931 2.00779048041296 2.05522832351637 2.02704842745384 1.76020597628302 1.84423229544702 1.64003738484134 1.58298848282395 1.99589489213401 1.82344759255378 2.10207348681201 2.11934666183842 1.94823075863968 1.76806680479689 2.18961625282167 3.03314571607255 1.45610278372591 1.86651583710407 2.02344404130617 1.80205156639867 2.30719931638539 2.12662337662338 2.02730657840298 1.90657769304099 1.84484389782403 2.21105527638191 2.27790432801822 1.98125836680054 2.32936078006501 1.99794291591669 1.95138651146868 2.22200741877409 2.20017195450253 1.53977592668104 1.56049023176799 1.46782085058336 1.49770986178104 1.5411051822375 1.52246146914716 1.58425538018667 1.70003527959076 1.64785859959211 2.1401077752117 2.15767634854772 1.53371351895337 1.87651471436815 1.37144131420501 1.4809529610358 1.93953223046207 1.71389080856945 1.66149997280687 1.52055188272492 1.71231572130586 1.94152810569147 2.07050876784348 1.82272763932575 1.38919036249186 1.69630280630365 1.61883414641293 1.95712068910916 1.55936975472413 1.893840787213 2.24325024127298 2.1722265321955 1.69341862564264
"i" 1.37351373513735 1.65249195787247 0.820721769499418 1.52313115301185 0.775427464751584 3.82486160040262 1.5159073273473 1.17468633668827 1.52237428878979 2.7430654922785 0.188476911578332 2.7707288643897 0.63650953404238 0.402644394265038 0.39988030793504 1.3885094190258 1.65409684343186 1.1541743387075 1.08690776982074 2.29365273364296 1.64802825191289 1.4829726555947 1.80517264014704 1.08363434287302 1.9650457303269 1.1142675221629 1.07523947275059 1.92773027907727 3.54930237401083 1.79913190574227 0.686567571625514 0.591748247934335 0.624573844265648 0.823673803354698 0.643700733709735 0.796535289124899 0.616059308760572 0.478748675218361 0.322061191626409 0.801216074991291 1.0576983976186 0.310391790453869 1.84190330007675 1.0583050168358 1.32849704036673 1.20656130029416 1.53407025721066 1.67101728178648 0.64034151547492 0.526024890887953 0.592041855982376 1.12764487976392 1.48984198645598 2.34521575984991 4.75374732334047 2.88461538461538 2.3862684900921 0.720820626559468 0.384533219397565 2.71103896103896 0.0827472072817542 0.254210359072132 2.64900662251656 0.804020100502513 1.7369020501139 1.52610441767068 2.27518959913326 0.737978914888146 0.604815702385028 0.572719693582881 0.0465122834712258 1.58637696355411 1.47797597378959 1.53807552377368 1.27882939483604 1.26254861173917 1.51870694024667 1.09013389257927 1.75295466572588 1.66417403127124 0.895194105355768 3.81742738589212 2.95672593089567 0.577034045008656 2.16494462201739 1.57666672467501 0.65031374786081 1.36439924967914 0.535704573883722 1.25035929864904 0.929488400441888 1.52961269905059 0.687119422353841 1.80659730623437 1.46516171044063 0.564631665121655 3.02817210917242 0.988060930424043 1.03416535816774 3.28916540844484 0.774427418026034 1.62916989914663 1.36964797299949
"that" 1.25392920595873 1.05539153042789 0.91634791285548 1.18054396796262 1.08740702782948 1.39879806980668 1.01568562243654 1.28774300289535 1.05720436721513 1.33761539847584 1.08861664446105 1.4290744405726 1.09077061175639 1.19433033163751 1.14251516552869 1.62740029283397 1.65212768052301 1.3517761710154 1.28126541779419 1.63570439175426 1.63019244832076 1.43935581278309 1.47914752089624 1.09218372624874 1.15684143801503 1.56487241024636 1.51188494391835 0.911437328601387 1.61260932944606 1.19592441547883 1.25984466920547 1.17531564451474 1.0200463657439 1.15368880403655 1.05283255598287 1.04463644475397 1.1729490793916 1.13474399736871 0.81979212413995 0.950058586946195 0.842358604091456 1.06736768758116 1.24774094521328 0.870684141990862 1.38857982108683 1.31874158647854 1.40899275191892 1.34710287140598 1.46935508461656 1.48087442108674 0.709073385653311 1.21177874050355 1.21896162528217 1.28205128205128 0.728051391862955 1.24434389140271 1.14429249232487 0.720820626559468 0.619525742362743 1.18506493506494 1.19983450558544 0.985065141404512 0.851466414380322 0.603015075376884 0.882687927107061 1.39223560910308 0.75839653304442 1.74595011571098 1.40362889421431 1.75199062382949 1.36154138888497 1.11842488495369 1.19645674068681 1.07389286162338 1.07818896680313 1.11784389979199 1.09256791004149 1.16976708527676 1.0672076203916 1.06594153636982 1.40987572858243 0.912863070539419 1.18550821871855 1.0063473744951 1.10570133055824 1.67238048831422 1.14090131203651 1.47497285023201 1.06325121009409 1.30784708249497 1.32375909489162 1.14783744411514 0.82354507037567 0.9678199854827 1.17574705158816 1.24965387717756 1.4488931862465 0.946891724989708 1.48356705831393 1.55151767584735 1.4217451686557 1.08611326609775 1.14791413209843
"was" 1.4623479568129 1.26030053320407 0.88225511391984 0.846299849824796 1.0889141754772 1.77773172681252 0.956102427668773 1.69860747276989 1.12255881900661 2.34559657434789 2.73616481980957 2.44168963465718 0.922122786497294 1.0474195391354 1.08538940725225 1.18254485333782 1.35872240710474 0.862262540979925 1.04205600490379 1.24052798826693 1.44113293024417 1.32192585136722 1.53603781016148 1.48973005321991 1.12967490718102 1.10202282411716 1.18440084054253 1.54057105984836 1.61260932944606 1.09757536815327 1.08649659446105 1.07987237871888 0.801854629755898 0.886403927451248 1.00100919182827 1.48425428192126 1.46009536737322 1.01140225852428 1.88844971453667 1.10840168477056 1.26987142947622 1.34608684635606 0.673384002178595 0.847568633796414 1.06368774756331 1.0470160043875 0.645699258087276 0.939351790103462 0.70894953499009 0.680401761039852 1.5774670049763 1.07615997990833 0.632054176072235 0.813008130081301 1.15631691648822 1.86651583710407 1.14429249232487 1.58026060438037 1.0467848750267 1.07142857142857 1.90318576748035 0.667302192564347 0.614947965941343 1.10552763819095 0.854214123006834 0.240963855421687 1.13759479956663 1.12111082540499 1.118338468561 1.02823725577855 1.30234393719432 0.850468922933535 0.723213202281277 0.8254924099862 0.954562036399011 0.75969973772271 0.745273986746513 0.959555241199543 0.923884282942318 0.734194425560843 0.961178928846365 1.6597510373444 2.01207648440121 0.865551067512983 1.08897643648257 1.49835546351565 1.10667427267541 0.965544476256294 0.935443519878175 1.63265306122449 0.77139918479296 0.585221278947104 0.993245266695505 1.23397048149044 1.17212936835251 1.10518522085646 1.73163978376478 1.17173892390031 1.23991553413829 1.64132868225126 1.23814231574983 1.39643134212568 1.00074565362427
"it" 1.09676096760968 1.13911778962676 0.772492931980708 0.77903387285166 1.01581751456281 1.01986441280085 0.942245870746037 1.13056666207087 0.945717361217899 0.951805568804519 1.07236863484223 0.989546022996321 0.699072436961075 0.829773920613761 0.663746905688093 0.963269652452309 1.20709686312349 0.866753491714196 0.781915768385486 2.22439501344415 1.86562505573689 1.98288877705083 1.30847665310052 1.11355718468805 1.07081409037399 0.722437184699025 0.802336053270748 0.830779157928698 0.903269471053728 1.47785835114544 1.20934168679961 0.801723432685228 0.943679258148098 0.905495704350198 0.878269645146333 0.857472415068881 0.828373533813651 0.804919051273618 0.775874688918167 1.05139816955379 0.798023940718222 0.775979476134672 1.3393409749214 0.670734996108889 1.10596822288486 1.00214388991375 1.32346967137756 1.05176914429434 1.07295319408446 1.28266214336084 0.819220707696544 0.933006843724493 0.812641083521445 1.21951219512195 1.54175588865096 1.27262443438914 0.795422830030701 1.24757416135292 0.512710959196753 0.892857142857143 0.703351261894911 0.285986653956149 0.75685903500473 0.703517587939699 0.597949886104784 1.15127175368139 1.30010834236186 0.87168938030342 0.741755106698619 1.08865072556577 0.885142849088782 0.957262965767655 0.961048416454314 0.973529042780078 0.867415183819059 0.853757800488378 0.850400795960127 0.862115868768455 1.0010583877227 0.799456152277362 1.28010557571758 0.995850622406639 1.00167728950017 0.821696480092325 1.13171783245373 1.82204200964099 0.58185966913862 0.9754171191628 0.79675857943112 1.25898246622593 1.15424174317169 1.18048927512935 0.948324626493195 0.629082990563755 1.07083423775414 1.29419837954324 1.06945604242664 0.804382936947778 0.855487573772267 1.00874681105847 1.30169714944801 0.775795190069822 1.03999058121738
"with" 0.966926335930026 1.00030846516547 0.935473141526692 1.22747371933923 1.08213201106246 0.799313182746677 1.27896020396852 0.750034468495795 0.757342764877749 0.860652696959098 0.971630975205537 0.911839341435874 0.835078747653891 0.82705335038224 0.949375697070265 0.723678218896899 0.645885434101963 0.934117752728253 0.838728003946955 0.662022325429805 0.679544116860185 0.62070122462674 0.673931118988228 0.987453779896125 1.02100878384497 1.1191654013812 1.08342657533499 1.26633327956122 1.01390045814244 1.10150933004629 1.08922648540191 1.02806032014398 1.01731896904405 0.987317605345698 1.1482966478466 1.11210254847766 1.09289617486339 0.891715089719694 1.06865759039672 1.13056971846597 1.21920324276395 1.11487663509961 0.705567796400366 1.31565767473398 0.94797276247274 0.787754898539163 1.0305531205234 0.805975268182078 0.840448239060832 0.8309668566201 0.93526877913495 0.948075594901739 0.880361173814898 0.875547217010632 0.813704496788009 0.650452488687783 0.837287189506001 0.720820626559468 1.02542191839351 1.16883116883117 1.11708729830368 0.889736256752463 0.804162724692526 0.402010050251256 1.36674259681093 0.72289156626506 0.812567713976165 0.737978914888146 0.912929362090608 0.69113009436584 0.778023650791414 1.00386400264073 0.876107268535372 1.06887467068122 0.948482023428317 1.09613819299991 0.927368638420094 0.964006786132943 0.886399717763274 0.968048946295037 0.822610799516111 0.746887966804979 0.954713183495471 1.29024812463935 0.884561064446592 0.664775594730522 0.981175128351398 0.947773719024583 1.03605808451623 0.692727795343489 0.746638223305779 0.730898678856684 0.927528033806941 1.08073231712235 1.05274582157586 1.19427422558781 0.931745264360744 1.05456503151028 0.990849531647626 1.08684333836622 0.765011887107784 0.698215671062839 0.945802754993917
"as" 1.02842695093618 0.843872559820209 0.724264094461999 1.07312698147839 1.03314971251159 1.27446046360165 0.913147101208292 0.716944712532745 0.565123789020452 0.474842867287778 0.718162025151919 0.517235099136727 0.772515844735196 0.837935631308322 0.837844454721036 1.17203645712925 1.14802197585806 0.741006871154623 0.835737886285825 0.916646296748961 0.847200670626215 0.905888273779567 0.947442125071113 0.899822600294954 0.962147967037943 0.631826419160504 0.766858608738368 0.806581706726891 0.683309037900875 1.16576404096566 0.996410193412773 0.779907829074746 0.872766943951998 0.845492976953498 0.897362463519079 0.724716533548064 0.790087362082768 0.772027920915104 0.556287512809252 0.56686829021123 0.782190132370638 0.611281791404048 0.678335355135791 0.767049613585755 0.7521474030887 0.668095926609164 0.954651386542943 0.735476249452204 0.889998475377344 0.893861137052355 0.878228201648276 0.885289131663213 0.790067720090293 1.00062539086929 0.599571734475375 1.15950226244344 0.837287189506001 1.38619351261436 0.662251655629139 0.584415584415584 0.661977658254034 0.635525897680331 0.709555345316935 0.301507537688442 0.683371298405467 1.01740294511379 0.975081256771398 1.04397017228079 0.718931872646354 1.07898457039982 1.03736486772188 1.0504650395138 1.0071593253246 0.996110902019822 0.948482023428317 0.982183232341503 0.865418911562072 1.03275842454879 1.16863644381725 1.068660774983 0.985373364126251 1.6597510373444 0.589734988258974 0.73398730525101 0.98676875046458 0.800515114073404 0.912721049629207 0.718728403593642 0.783162016642193 0.686979016958896 0.758066359376786 0.783643944341187 0.742854290753003 0.854907653843052 0.929744591563563 1.02693136534919 1.0401558768807 0.579535738037179 0.768855920732037 0.756234706096736 1.00275404279359 0.465477114041893 1.18519681331188
"for" 0.714090474238076 0.696249944916935 0.848993846665558 0.853078591690305 0.780702481518602 0.892566387400456 0.767653253519565 0.824486419412657 0.461325542057512 0.479082535745705 0.669417996295454 0.530590935029929 0.541305116557408 0.56859917838779 0.508691276080629 0.774819080445276 0.866431679892878 0.700588314546189 0.832747768624695 0.659985333659252 0.743753009791856 0.872336856232176 0.77458316922673 0.910509329514609 0.957620211898941 0.754273399617965 0.761400540348771 0.975963865139539 0.631247396917951 0.638613147300646 0.585561606813808 0.559024842518611 0.493658802672849 0.570025910268649 0.616425278891526 0.587608000174106 0.624760711426682 0.597522201512992 0.468452642365686 0.506697913037971 0.532015960478814 0.532100212206632 0.760032678929518 0.529345137652851 0.747696826739063 0.710475145834372 0.869128306001582 0.752624659413524 0.809955785942979 0.726143055899674 0.775948545465274 0.693162554153325 0.564334085778781 0.469043151969981 0.642398286937901 0.84841628959276 0.739603684063634 0.859439977820904 0.534073915829951 0.405844155844156 0.206868018204386 0.317762948840165 0.75685903500473 0.50251256281407 0.484054669703872 0.589022757697456 0.487540628385699 0.974543584469015 0.78740157480315 0.884453197684956 0.856953586378948 0.877652861109493 0.902803057881325 0.812946932630787 0.78432167321957 0.826625666998282 0.837259944808425 0.825514277093834 0.837890280472746 0.861998640380693 1.06675464643132 0.995850622406639 0.597115062059712 0.470859780727063 0.92172749572586 0.812696865809303 0.60467769537935 0.693059532036726 0.647196388752923 0.891060649611957 0.746638223305779 0.796202340885116 0.858483346088577 0.766190821840471 0.676506765067651 0.514067635409268 0.871679924991576 0.573202014124204 0.877145487032324 0.66642369969282 0.94626085728409 0.930954228083786 0.735842392370786
