"Ainsworth_Rookwood1" "Ainsworth_Rookwood3" "Badcock_RealLifeInLondon_2" "Bird_Calavar" "Bird_NickOfTheWoods_1837" "Bird_SheppardLee2" "Bird_TheInfidel_v1_1835" "Bowring_MinorMorals1" "Bowring_MinorMorals3" "BrownCharlesBrockden_EdgarHuntley" "BrownCharlesBrockden_Ormond_1799" "BrownCharlesBrockden_Wieland" "Cooper_LastMohicans_1" "Cooper_LastMohicans_2" "Cooper_LastMohicans_3" "Cooper_LastMohicans_4" "Cooper_Monikins" "Cooper_PocketHandkerchief" "Cooper_TheBravo1" "Edgeworth_HarryandLucy1" "Edgeworth_HarryandLucy2" "Edgeworth_HarryandLucy3" "Edgeworth_HarryandLucy4" "Ferrier_Destiny1" "Ferrier_Destiny2" "Galt_Spaewife1" "Galt_Spaewife3" "Gilman_RecollectionsofSouthernMatron_1" "Godwin_StLeon_2" "Hawthorne_BlithedaleRomance" "Hawthorne_MossesFromAnOldManse" "Hawthorne_ScarletLetter" "Irving_HistOfNY" "Irving_RipVanWInkle" "Irving_SketchBookOfGeoffreyCrayon" "Landor_PericlesAndAspesia2" "Lippard_BelOfPrairieEden" "Lytton_LastDayOfPompeii1" "Lytton_LastDayOfPompeii2" "Melville_MobyDick" "Melville_Omoo_1847" "Melville_PiazzaTales" "Poe_Assignation_1834" "Poe_Berenice_1835" "Poe_CaskOfAmontillado_1846" "Poe_FactsOfTheCaseOfMValdemar_1845" "Poe_FallOfHouseUsher_1839" "Poe_HopFrog_1849" "Poe_KingPest_1835" "Poe_Ligeia_1838" "Poe_MaskOfTheRedDeath_1842" "Poe_Metzengerstein_1832" "Poe_Morella_1835" "Poe_TheManOfTheCrowd_1840" "Poe_TheMesmericRevelation_1844" "Poe_TheOvalPortrait_1842" "Poe_TheSphinx_1846" "Quincey_Klosterheim" "Quincey_NotebookEnglishOpiumEater" "Quincey_TheCaesars_1851" "Scott_ChroniclesOftheCanongate" "Scott_ThePirate_1822" "Scott_Woodstock" "Southey_TheDoctor2"
"the" 6.65573322399891 5.66694575419733 7.8330284383835 7.39560737527115 7.20718005139373 5.60365666066013 6.40311495399623 6.13682092555332 7.06596955251422 5.51474874664801 5.59906411464596 4.98051262126492 8.86761145717161 8.50329036819492 8.70310417063416 8.97146432360382 6.80523738467035 5.35612311206506 9.18399425158306 5.00692577201988 5.73777801558849 5.95202147290723 5.22771174494892 5.00993865817428 3.56426075968186 8.08381612431642 8.00152825914909 5.98483626391353 6.26171386922116 4.99613160413853 6.36337578313746 6.25308500776519 7.4955231517012 6.70472844385888 7.3678793396936 5.77183905158989 8.22850548182343 0 0 6.7514266932157 7.20973230266911 6.68299114710868 7.74266365688488 7.44215134459037 7.15203426124197 6.53280542986425 7.81468043538934 8.37260881619074 8.07519760734886 8.53896103896104 10.8398841539098 9.69176993962504 7.23746452223273 6.71981776765376 7.97858099062918 8.14584949573313 8.72156013001083 7.82177088087631 6.71676957094354 7.48988710200285 6.85344860102142 6.31426917997596 5.90807655027838 5.61636419273592
"and" 3.006696733634 2.44128145243026 3.60635290204557 3.45924411813783 3.6608616363102 3.69182085878785 3.16483760115287 3.93791319344639 3.76749192680301 3.52210457142251 3.59730932960712 3.15440560459441 2.76636835949188 3.21694675586012 3.19667002203662 3.18000054405484 2.85548152974226 2.82574877419609 3.29186688822024 3.30807463537847 3.24968341448624 3.4289548733434 3.12896994587822 3.7360805351914 3.19073812532521 3.82262169040013 4.02259640313293 3.61348604613647 3.54279466888796 3.03701858141334 3.10525094522474 3.28666193130515 3.63812447465556 3.57195139803835 4.14631249752583 4.2623197870096 3.08366993652626 3.76740053312272 3.76296230361832 3.0062974571992 3.18640467339352 2.49387831983424 2.7765237020316 4.56535334584115 2.61241970021413 2.31900452488688 3.41892269048284 2.99417798724702 3.97350993377483 3.19805194805195 5.17170045510964 3.11407689863362 5.3926206244087 4.01480637813212 1.79384203480589 5.04266873545384 2.22101841820152 2.72136010953902 2.4286214854464 3.14028386587549 3.22040419127798 3.30007864396049 3.24970508456747 3.42254548878375
"to" 2.41219078857455 2.46331467853523 2.77066356228172 2.68855331219756 2.71135861824704 2.85823114900599 2.62443188116617 3.29405001437195 2.96401660771951 3.51786490296459 3.54531569882689 3.42759315695536 2.64940293229606 2.77913743405667 2.60630628179666 2.41832376703572 3.20576140336129 3.05220250871355 2.92360892801006 2.70512507129471 2.59154226193661 2.66062741150814 2.74089414057741 3.02861906085024 3.15171337248197 3.16746981428339 3.25300876019977 2.46007420551702 3.45949604331529 2.45610354187702 2.23578068056181 2.33798442146323 2.59657201330264 2.23978919631094 2.24852539487748 2.69252021901844 1.40565493364108 2.84332115707375 2.79051137122257 2.14885245276907 2.5245372829016 2.4361147736548 1.98645598194131 1.53220762976861 2.09850107066381 3.33710407239819 1.674574379012 2.99417798724702 2.39265114291818 1.72077922077922 1.9859329747621 2.09723546234509 1.70293282876064 1.56605922551253 2.46318607764391 2.1722265321955 2.16684723726977 2.69283432222729 2.57240554353999 2.85275338623518 2.91941068640098 2.75797939429312 2.85072395164138 2.64341030529859
"of" 0 0 0 4.17361922242616 3.67819383425897 3.38416912055553 3.78838266267598 0 0 3.56450125600178 4.21473369512235 3.45309066184238 4.44468623344123 4.27204002828085 4.06725249612319 4.53469709746742 4.17673721303321 3.65279719591202 0 0 0 0 0 0 0 0 0 0 0 3.66514116366593 4.03614375605695 3.88620685503774 5.01407009465336 3.95256916996047 4.99821859783857 0 3.66993652625505 0 0 3.07060583253146 3.46865718612931 3.11923149368996 4.96613995485327 5.34709193245779 3.21199143468951 3.53506787330317 5.79123639408317 3.65955087330191 5.14847254860073 5.86038961038961 5.04757964418701 5.94216714331109 4.73036896877956 5.3246013667426 4.41767068273092 4.26687354538402 6.28385698808234 0 4.37635175138649 5.21501360131926 0 3.72149156432235 0 0
"a" 2.2686893535602 1.81113118582823 2.55529685681024 2.01589354246621 2.21626061597124 2.62236481636121 2.13806673317814 2.06668582926128 2.10287559587882 1.67360912376652 1.68004419458616 1.62091281067496 2.30938715556402 2.12378310763039 2.46755719998912 2.33671554092653 2.44075015937734 2.50280605714511 2.28589392374366 1.50126293489774 1.76396097526174 1.93927193423922 1.83074326088091 2.46863444974031 1.88991303055081 1.77594888732471 1.72474961111263 0 1.92367763431903 2.73803747754363 2.63980453980863 2.46800621215222 2.39282973358184 3.1181379007466 2.55492656664423 1.43165720600794 2.55510675129833 2.13051633922401 2.02278695091014 2.19744100302011 2.90120178596015 2.19124756702455 2.32505643340858 2.37648530331457 2.78372591006424 1.86651583710407 2.23276583868267 2.57831993346271 2.60628070925016 2.30519480519481 1.94455937112122 2.7009850651414 1.51371807000946 2.44874715261959 1.49933065595716 1.78432893716059 2.00433369447454 2.17937015061616 2.37787417082513 2.01976067315959 2.02548260800688 2.08925842207571 2.06929197754886 2.05964738836711
"in" 1.60926609266093 1.40571982549685 2.04141027773158 1.42249290839313 1.52749414096352 1.61883414641293 1.3163729076599 1.52055188272492 1.90681224050438 1.50296246833498 1.55006011763559 1.55170529741018 1.69463863123249 1.66149997280687 1.79557635280355 1.97763934604608 1.96717177024443 2.00657700411555 1.71105222975704 1.46867106656889 1.60343874293256 1.65744002684113 1.4809529610358 1.64361895398294 1.37144131420501 1.55936975472413 1.58556886717791 1.62122923052105 1.88463140358184 1.69553757589268 1.60108103681258 1.69630280630365 1.98260424661039 1.8006148440931 2.01179684098017 1.94152810569147 1.87651471436815 1.71389080856945 1.64003738484134 1.93925478501948 1.94823075863968 1.76806680479689 2.18961625282167 3.03314571607255 1.45610278372591 1.86651583710407 2.02344404130617 1.80205156639867 2.30719931638539 2.12662337662338 2.02730657840298 1.90657769304099 1.84484389782403 2.27790432801822 1.98125836680054 2.1722265321955 2.32936078006501 1.94545869465997 2.22200741877409 2.20017195450253 1.52458113623162 1.58425538018667 1.68308425189159 2.24325024127298
"i" 1.37351373513735 1.65249195787247 0.820721769499418 1.52313115301185 0.775427464751584 3.02817210917242 1.5159073273473 1.25035929864904 1.52237428878979 2.7430654922785 0.188476911578332 2.7707288643897 0.63650953404238 0.535704573883722 0.402644394265038 0.39988030793504 1.3885094190258 1.65409684343186 1.1541743387075 2.29365273364296 1.64802825191289 1.4829726555947 1.57666672467501 1.08363434287302 2.16494462201739 1.03416535816774 1.07523947275059 1.92773027907727 3.54930237401083 1.79913190574227 0.686567571625514 0.564631665121655 0.478748675218361 0.322061191626409 0.789359091089031 1.52961269905059 0.577034045008656 1.36439924967914 1.32849704036673 0.941760429865762 0.592041855982376 1.12764487976392 1.48984198645598 2.34521575984991 4.75374732334047 2.88461538461538 2.3862684900921 0.720820626559468 0.384533219397565 2.71103896103896 0.0827472072817542 0.254210359072132 2.64900662251656 1.7369020501139 1.52610441767068 1.62916989914663 2.27518959913326 0.627567320858056 0.572719693582881 0.0465122834712258 1.53815979058698 1.09013389257927 1.5816483706392 0.774427418026034
"that" 1.25392920595873 1.05539153042789 0.91634791285548 1.18054396796262 1.08740702782948 1.4488931862465 1.01568562243654 1.30784708249497 1.05720436721513 1.33761539847584 1.08861664446105 1.4290744405726 1.09077061175639 1.06325121009409 1.19433033163751 1.14251516552869 1.62740029283397 1.65212768052301 1.3517761710154 1.63570439175426 1.63019244832076 1.43935581278309 1.67238048831422 1.09218372624874 1.10570133055824 1.48356705831393 1.51188494391835 0.911437328601387 1.61260932944606 1.19592441547883 1.25984466920547 1.24965387717756 1.13474399736871 0.81979212413995 0.951664621353074 1.14783744411514 1.0063473744951 1.47497285023201 1.38857982108683 1.40525709059383 0.709073385653311 1.21177874050355 1.21896162528217 1.28205128205128 0.728051391862955 1.24434389140271 1.14429249232487 0.720820626559468 0.619525742362743 1.18506493506494 1.19983450558544 0.985065141404512 0.851466414380322 0.882687927107061 1.39223560910308 1.08611326609775 0.75839653304442 1.27225011410315 1.75199062382949 1.36154138888497 1.12929142055356 1.16976708527676 1.09776164822036 1.4217451686557
"his" 1.85185185185185 1.38368659939188 1.19657408947281 1.49653762723177 1.69101966074106 0.899515082260215 1.50066511473229 1.16412762288014 1.29555589727818 1.05037786045131 1.78403145614662 1.45092944476148 1.73816065065419 1.78930766302279 1.90984030252741 2.16261799189358 0.828061621235367 0.403678396313727 1.1856109938474 0.757760938645808 0.690245599015464 0.865626572722697 0.844021370273045 1.64148160813901 0.841819668475433 1.60268558124425 1.27172993477608 1.41151798677206 1.02691586838817 0.670084842444826 1.44820714412459 1.09435007163238 1.40975039286628 2.34226321182843 1.40691184038637 0.650524940975536 2.00346220427005 1.18669167736203 1.09484178201077 1.18851404780732 0.873310910485632 1.31851572800904 0.767494356659142 0.0938086303939962 0.728051391862955 0.989819004524887 1.24197599776723 1.5248128638758 1.43131809442427 0.0811688311688312 0.827472072817542 2.16078805211312 0 0.911161731207289 0.562248995983936 0.853374709076804 0.487540628385699 1.08968507530808 0.984739557531747 1.61242582700249 1.3012877090547 1.02138225416343 1.48547212767396 1.26403502577502
"was" 1.4623479568129 1.26030053320407 0.88225511391984 0.846299849824796 1.0889141754772 1.73163978376478 0.956102427668773 1.63265306122449 1.12255881900661 2.34559657434789 2.73616481980957 2.44168963465718 0.922122786497294 0.935443519878175 1.0474195391354 1.08538940725225 1.18254485333782 1.35872240710474 0.862262540979925 1.24052798826693 1.44113293024417 1.32192585136722 1.49835546351565 1.48973005321991 1.08897643648257 1.23991553413829 1.18440084054253 1.54057105984836 1.61260932944606 1.09757536815327 1.08649659446105 1.10518522085646 1.01140225852428 1.88844971453667 1.22402121847908 0.585221278947104 0.865551067512983 0.965544476256294 1.06368774756331 0.775035012337681 1.5774670049763 1.07615997990833 0.632054176072235 0.813008130081301 1.15631691648822 1.86651583710407 1.14429249232487 1.58026060438037 1.0467848750267 1.07142857142857 1.90318576748035 0.667302192564347 0.614947965941343 0.854214123006834 0.240963855421687 1.39643134212568 1.13759479956663 1.11250570515746 1.02823725577855 1.30234393719432 0.803403716025075 0.959555241199543 0.900900900900901 1.23814231574983
