"ADream_1831" "BelOfPrairieEden" "ConfidenceMan" "Destiny1" "HarryandLucy3" "HistOfNY" "Klosterheim" "LastDayOfPompeii3" "Metzengerstein_1832" "MinorMorals3" "PericlesAndAspesia1" "RealLifeInLondon_2" "RecollectionsofSouthernMatron_1" "Rookwood2" "ScarletLetter" "SheppardLee2" "Spaewife1" "StLeon_1" "TheBravo2" "TheDoctor1" "Wieland" "Woodstock"
"the" 10.7883817427386 8.22850548182343 5.19980329691476 5.00993865817428 5.95202147290723 7.4955231517012 7.82177088087631 0 9.69176993962504 7.06596955251422 5.40935310573614 7.8330284383835 5.98483626391353 5.94747123941828 6.25308500776519 5.60365666066013 8.08381612431642 6.19305461550476 8.97334310105103 6.40712636093698 4.98051262126492 5.90807655027838
"and" 2.15767634854772 3.08366993652626 2.08462508819568 3.7360805351914 3.4289548733434 3.63812447465556 2.72136010953902 4.2429077130179 3.11407689863362 3.76749192680301 4.16656351348006 3.60635290204557 3.61348604613647 2.59387887996527 3.28666193130515 3.69182085878785 3.82262169040013 3.63279012859895 2.55505554143556 3.61816782140108 3.15440560459441 3.24970508456747
"to" 1.57676348547718 1.40565493364108 2.43526971841526 3.02861906085024 2.66062741150814 2.59657201330264 2.69283432222729 2.44303734357082 2.09723546234509 2.96401660771951 2.7826603619439 2.77066356228172 2.46007420551702 2.3044642211128 2.33798442146323 2.85823114900599 3.16746981428339 3.43234237517572 2.9333054255685 2.34026173979985 3.42759315695536 2.85072395164138
"of" 5.06224066390041 3.66993652625505 2.87892069872357 0 0 5.01407009465336 0 0 5.94216714331109 0 0 0 0 0 3.88620685503774 3.38416912055553 0 0 0 0 3.45309066184238 0
"a" 2.32365145228216 2.55510675129833 2.72925530777619 2.46863444974031 1.93927193423922 2.39282973358184 2.17937015061616 1.87465722690333 2.7009850651414 2.10287559587882 1.41856262223653 2.55529685681024 0 2.45278923377469 2.46800621215222 2.62236481636121 1.77594888732471 1.7858072577706 2.03328000956838 2.10931485758276 1.62091281067496 2.06929197754886
"in" 2.15767634854772 1.87651471436815 1.99589489213401 1.64361895398294 1.65744002684113 1.98260424661039 1.94545869465997 1.58298848282395 1.90657769304099 1.90681224050438 1.76020597628302 2.04141027773158 1.62122923052105 1.38919036249186 1.69630280630365 1.61883414641293 1.55936975472413 1.893840787213 1.8658334205451 2.1401077752117 1.55170529741018 1.68308425189159
"i" 3.81742738589212 0.577034045008656 1.53407025721066 1.08363434287302 1.4829726555947 0.478748675218361 0.627567320858056 1.20656130029416 0.254210359072132 1.52237428878979 1.84190330007675 0.820721769499418 1.92773027907727 1.46516171044063 0.564631665121655 3.02817210917242 1.03416535816774 3.28916540844484 1.08690776982074 0.895194105355768 2.7707288643897 1.5816483706392
"that" 0.912863070539419 1.0063473744951 1.40899275191892 1.09218372624874 1.43935581278309 1.13474399736871 1.27225011410315 1.31874158647854 0.985065141404512 1.05720436721513 1.24774094521328 0.91634791285548 0.911437328601387 1.17574705158816 1.24965387717756 1.4488931862465 1.48356705831393 1.55151767584735 1.28126541779419 1.40987572858243 1.4290744405726 1.09776164822036
"his" 0.663900414937759 2.00346220427005 1.13318081717303 1.64148160813901 0.865626572722697 1.40975039286628 1.08968507530808 1.47080819663958 2.16078805211312 1.29555589727818 0.708043472878964 1.19657408947281 1.41151798677206 1.51942695897547 1.09435007163238 0.899515082260215 1.60268558124425 0.783568490654449 1.30369130025266 1.00956779940614 1.45092944476148 1.48547212767396
"was" 1.6597510373444 0.865551067512983 0.645699258087276 1.48973005321991 1.32192585136722 1.01140225852428 1.11250570515746 1.0470160043875 0.667302192564347 1.12255881900661 0.673384002178595 0.88225511391984 1.54057105984836 1.17212936835251 1.10518522085646 1.73163978376478 1.23991553413829 1.64132868225126 1.04205600490379 0.961178928846365 2.44168963465718 0.900900900900901
"he" 0.663900414937759 0.872475476053087 0.951444271022642 1.4683565947806 1.48632779734944 0.907247012388992 0.9185303514377 1.33619185321833 1.01684143628853 1.4647085960326 1.13385982719778 0.892233494096125 1.14534602355219 1.42536719484842 0.734382336298954 0.854099825664015 1.36986301369863 0.744520227000573 1.07046212268453 1.0865500934785 1.14253105231845 1.26982695790035
"it" 0.995850622406639 0.821696480092325 1.32346967137756 1.11355718468805 1.98288877705083 0.804919051273618 0.661798265632131 1.00214388991375 0.285986653956149 0.945717361217899 1.3393409749214 0.772492931980708 0.830779157928698 1.07083423775414 1.29419837954324 1.06945604242664 0.855487573772267 1.00874681105847 0.781915768385486 1.28010557571758 0.989546022996321 0.960259675856006
"with" 0.746887966804979 1.29024812463935 1.0305531205234 0.987453779896125 0.62070122462674 0.891715089719694 0.94705613874943 0.787754898539163 0.889736256752463 0.757342764877749 0.705567796400366 0.935473141526692 1.26633327956122 1.05274582157586 1.19427422558781 0.931745264360744 0.990849531647626 1.08684333836622 0.838728003946955 0.822610799516111 0.911839341435874 0.931707353725702
"as" 1.6597510373444 0.73398730525101 0.954651386542943 0.899822600294954 0.905888273779567 0.772027920915104 0.815837517115472 0.668095926609164 0.635525897680331 0.565123789020452 0.678335355135791 0.724264094461999 0.806581706726891 0.929744591563563 1.02693136534919 1.0401558768807 0.768855920732037 0.756234706096736 0.835737886285825 0.985373364126251 0.517235099136727 1.14735252349931
"for" 0.995850622406639 0.470859780727063 0.869128306001582 0.910509329514609 0.872336856232176 0.597522201512992 0.696029210406207 0.710475145834372 0.317762948840165 0.461325542057512 0.760032678929518 0.848993846665558 0.975963865139539 0.676506765067651 0.514067635409268 0.871679924991576 0.877145487032324 0.66642369969282 0.832747768624695 1.06675464643132 0.530590935029929 0.805476034833833
"had" 1.16182572614108 0.189267166762839 0.311090205469201 0.782268578878748 0.768327461835263 0.479662317728319 1.02122318575993 0.663110136112081 0.540197013028281 0.649700138397663 0.339167677567895 0.439880259437885 0.524278109372479 0.408798205629115 0.914968156700336 0.949325363688305 0.736369050841951 1.04649346592388 0.699687532704412 0.532277576157484 1.09396437634317 0.64693550932083
"is" 0.0829875518672199 0.685516445470283 1.03482927455047 0.639066407335371 0.936084549572219 0.530826298286007 0.290963030579644 0.850077279752705 0.285986653956149 1.1802245117638 1.25021662169188 0.975386662231831 0.556541377641555 0.734389696838145 0.410531765045809 0.53033299638143 0.557691266446478 0.594835216327381 0.922451298458594 0.802815352468932 0.461383421765156 0.656703408996987
"but" 0.580912863070539 0.431621465666474 1.05407196767228 0.882723833543506 0.85556114745848 0.495194240397617 0.524874486535828 0.720446726828539 0.571973307912297 0.768875903429187 0.750129973015126 0.447364044570098 0.588804645910631 0.463063454163953 0.568243381529682 0.546448087431694 0.887974443662353 0.614359348154319 0.656330826618027 0.547674034971956 0.814705989485315 0.698780515294277
"not" 0.4149377593361 0.403923831506059 0.908682730751962 0.63692906149144 0.845495722194263 0.360888791433688 0.462117754450023 0.835119908261455 0.317762948840165 0.703521451637706 0.985319238481915 0.508065857309163 0.685594450717858 0.857390926850445 0.579078530753765 0.562563178481958 0.74719800747198 0.840839277346801 0.829757650963565 0.725833058396569 0.955549349813625 0.78218335099069
"which" 0.746887966804979 0.33467974610502 0.381646746915824 0.465941393976959 0.811944304646871 0.733654935496839 1.07827476038339 0.535972478436456 0.603749602796314 0.657388897431954 0.316886589260515 0.624480292699152 0.459751572834328 0.488387236813545 0.656128480791688 0.700273956547855 0.606421571281607 0.765345967615973 0.557656943800739 0.972176399428131 0.886341836548852 0.818249442102653
"by" 0.24896265560166 0.648586266589729 0.550554830985012 0.427469168786201 0.593860090588827 0.821364616452874 0.616157005933364 0.688039088597497 0.540197013028281 0.68045517453483 0.509989354591142 0.78330284383835 0.532343926439748 0.539034802112727 0.51045591900124 0.58453830264141 0.568520223076507 0.544072473577342 0.530745884850569 0.547674034971956 0.863272665460594 0.562029919828085
"my" 0.580912863070539 0.387766878245817 0.5120694447414 0.38258490606365 0.318738466700218 0.220187844900048 0.216795983569147 0.528493792690831 0.063552589768033 0.565123789020452 0.586735325427673 0.286878430068186 1.29053073076303 0.629476883004124 0.359967735333422 1.61443912158104 0.476474091721263 1.9459051387515 0.45300282566119 0.31232816452216 2.35426961790168 0.600350141634545
"her" 0.24896265560166 0.939411425274091 0.105834812169934 0.673263940838267 0.610635799362523 0.0575594781273983 0.895709721588316 0.51104352595104 0 0.149930801168691 0.465427177976382 0.230334275735906 0.5968704629779 0.596917733883221 1.14371019587542 0.125990711847522 0.839244138827224 0.385276201384912 0.627924708837293 0.235345870449797 0.381248406405945 0.260727783663563
"you" 0 0.803231390652049 1.49986102499412 0.816466112381644 1.22127159872505 0.0264956327888024 0.199680511182109 0.279204267836666 0.190657769304099 0.55743502998616 1.13881118015498 0.580409113587228 0.362961768027101 0.669271398596339 0.174566293054669 0.372112102433379 0.714711137581894 0.821315145519863 0.270605648332262 0.277136258660508 0.517235099136727 0.916679815762385
"be" 0.0829875518672199 0.207732256203116 0.763293493831648 0.619830294739992 0.627411508136219 0.40839820195154 0.513464171611136 0.528493792690831 0.540197013028281 0.526679993848993 0.750129973015126 0.577082986861799 0.250040329085336 0.77418421243036 0.700672983157362 0.558168153650068 0.698467702636851 0.875982714635289 0.604003767548253 0.906191575937534 0.745498476220541 0.675487831451134
"at" 0.49792531120332 0.327755337564916 0.525966945329371 0.57280868617351 0.674383492702567 0.54270365091547 0.844363304427202 0.568380116667498 0.73085478233238 0.392126710748885 0.492659619240958 0.681855978712789 0.580738828843362 0.542652485348383 0.570651192468367 0.470267657012262 0.552276788131464 0.490706513250377 0.44104235501667 0.450896293852414 0.590085113099647 0.537985859086777
"this" 0.24896265560166 0.45931909982689 0.469307904470719 0.299228418150341 0.714645193759436 0.62036326426196 0.753080785029667 0.373934287281248 0.222434064188116 0.20759649392588 0.306983883346124 0.573756860136371 0.322632682690757 0.535417118877071 0.533330122918748 0.307651738232321 0.422329308571119 0.619565783308169 0.623439532345598 0.527878587924777 1.1862410606962 0.459842661677524
"on" 1.49377593360996 0.678592036930179 0.421201171666203 0.436018552161925 0.617346082872001 0.595694916493075 0.587631218621634 0.680560402851872 0.444868128376231 0.630478240811933 0.482756913326567 0.572925328455014 1.00016131634135 0.271326242674191 0.527310595572036 0.525937971549539 0.552276788131464 0.247305669807883 0.544201414325654 0.268338282195095 0.450455919670718 0.546251004966601
"from" 0.580912863070539 0.70398153491056 0.375232515875222 0.384722251907581 0.446233853380305 0.420275554581004 0.616157005933364 0.630702497881039 0.699078487448364 0.399815469783177 0.482756913326567 0.460668551471811 0.532343926439748 0.437739671514362 0.37321069549619 0.426317408693359 0.492717526666306 0.528453168115791 0.39918070776085 0.365116023314638 0.63500928837678 0.404240771213248
"have" 0 0.207732256203116 0.571935601120352 0.592044798768889 0.452944136889784 0.435807477250302 0.216795983569147 0.433763773246248 0.254210359072132 0.649700138397663 0.992746267917708 0.463994678197239 0.322632682690757 0.528181752405759 0.5008246752465 0.413132334197688 0.568520223076507 0.682043005154371 0.629419767667858 0.684042670185857 0.44559925207319 0.648438263117162
"were" 0.16597510373444 0.235429890363531 0.178529430630091 0.438155898005856 0.439523569870827 0.470525892628732 0.530579643998174 0.456199830483123 0.73085478233238 0.47285868060895 0.321837942217711 0.35340096457675 0.451685755767059 0.43050430504305 0.353948207986709 0.369182085878785 0.406085873626076 0.464674337481127 0.330408001554861 0.413504893874409 0.715144303735992 0.323843443109498
"all" 0.0829875518672199 0.318522792844778 0.408372709584999 0.5514352277342 0.503271263210871 0.431239264700508 0.365130077590141 0.194445829386249 0.317762948840165 0.511302475780409 0.361448765875275 0.412439713953102 0.282303597354412 0.470298820635265 0.430998158024632 0.410202317643095 0.379013482051004 0.382672983807987 0.290041413129607 0.483888705597713 0.245261713675162 0.28326909060854
"him" 0.16597510373444 0.325447201384882 0.54414059994441 0.472353431508752 0.405972152323436 0.214705989840295 0.370835235052487 0.463678516228748 0.222434064188116 0.449792403506074 0.398583913054242 0.312655912190254 0.451685755767059 0.567976267997974 0.397288804883041 0.465872632180372 0.601007092966593 0.339719893788723 0.245189648212657 0.38711096447817 0.450455919670718 0.519201436632629
"me" 0.746887966804979 0.210040392383151 0.5120694447414 0.213734584393101 0.34893474249287 0.0603004056572744 0.0912825193975354 0.441242458991873 0 0.449792403506074 0.675859678657193 0.152170297688342 0.588804645910631 0.379856739743868 0.302180272804979 0.930280256083447 0.379013482051004 0.941063154058416 0.296021648451867 0.160563070493786 0.832918492976044 0.423776570565561
"she" 0.33195020746888 0.300057703404501 0.0598661563789528 0.369760831000064 0.530112397248784 0.0182728501991741 0.741670470104975 0.441242458991873 0 0.0845763493772105 0.287178471517342 0.139697322467986 0.306501048556219 0.426886621807395 0.594729301855218 0.0747154221421351 0.492717526666306 0.232987973134795 0.42011153138876 0.15616408226108 0.180910868007916 0.161546033105666
"or" 0 0.219272937103289 0.392337131983494 0.378310214375788 0.593860090588827 0.360888791433688 0.502053856686445 0.249289524854166 0.285986653956149 0.388282331231739 0.418389324883024 0.343422584400466 0.322632682690757 0.314738441502062 0.479154376798334 0.353066994828521 0.21116465428556 0.296766803769459 0.200337883295708 0.591663917299021 0.339966731826957 0.432793093343552
